,Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
2631,28.06.04,13:00:00,1.9,12.1,106,39.6,19.0,,
8134,12.02.05,17:00:00,3.7,17.1,227,11.1,52.0,,
3283,25.07.04,17:00:00,0.8,3.0,51,30.0,41.3,,
64,13.03.04,16:00:00,2.5,10.2,124,17.6,35.1,36.17819114,53.93124824
6603,10.12.04,9:00:00,2.4,10.6,128,12.9,34.5,,
8867,15.03.05,6:00:00,0.6,2.4,88,9.3,67.9,,
2945,11.07.04,2:00:00,0.5,4.1,51,22.0,45.8,,
2305,14.06.04,10:00:00,1.5,7.0,84,24.8,39.1,,
2090,05.06.04,0:00:00,2.7,12.9,-200,21.1,48.1,,
1808,25.05.04,21:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
7550,19.01.05,10:00:00,0.2,3.7,128,6.4,67.4,,
2039,03.06.04,17:00:00,-200.0,16.6,-200,29.0,24.5,,
6266,26.11.04,21:00:00,8.1,31.6,205,14.6,67.7,,
3417,31.07.04,3:00:00,-200.0,5.2,-200,23.7,56.5,,
1295,03.05.04,20:00:00,3.2,13.1,113,19.3,63.1,40.26968549,138.8308019
5229,14.10.04,7:00:00,-200.0,10.2,-200,15.3,56.3,,
4755,24.09.04,13:00:00,4.6,26.9,153,25.4,48.7,,
8562,02.03.05,14:00:00,1.9,9.0,161,9.7,18.6,,
8157,13.02.05,8:00:00,2.8,11.9,149,8.7,83.7,,
8613,04.03.05,20:00:00,4.6,18.5,225,8.4,54.7,,
7580,20.01.05,22:00:00,2.1,7.0,132,8.1,49.9,,
5679,02.11.04,22:00:00,3.7,19.1,77,19.3,70.8,,
8924,17.03.05,13:00:00,2.0,10.2,174,26.7,22.6,,
2845,07.07.04,6:00:00,1.3,9.9,88,23.9,39.3,,
6385,01.12.04,15:00:00,5.0,22.9,162,13.0,73.0,,
5129,10.10.04,7:00:00,1.3,7.7,56,21.3,68.2,,
2785,04.07.04,8:00:00,1.1,6.1,69,23.7,54.3,,
1425,09.05.04,9:00:00,-200.0,4.8,-200,17.9,44.8,129.3749035,69.98909526
573,03.04.04,11:00:00,-200.0,11.4,-200,20.7,41.7,83.1420887,104.59402390000001
624,05.04.04,10:00:00,3.1,14.3,124,15.6,57.4,134.5497259,153.38224019999998
6584,10.12.04,6:00:00,0.4,0.8,39,11.7,38.1,,
614,05.04.04,22:00:00,1.7,7.7,89,17.4,51.8,137.5102562,143.46380190000002
5274,16.10.04,6:00:00,-200.0,6.9,-200,14.6,79.0,,
6353,30.11.04,14:00:00,2.2,9.7,108,14.9,58.4,,
3375,29.07.04,13:00:00,-200.0,9.5,106,36.4,16.8,,
1835,26.05.04,5:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
5125,10.10.04,22:00:00,1.5,6.7,63,20.8,68.1,,
2702,01.07.04,0:00:00,2.3,12.9,102,27.1,47.4,,
1698,20.05.04,23:00:00,2.1,12.3,117,20.2,42.8,111.33282659999998,60.038192200000005
5747,05.11.04,2:00:00,1.5,7.6,59,16.8,73.3,,
6775,18.12.04,14:00:00,0.8,3.3,68,14.3,18.4,,
2349,16.06.04,14:00:00,2.2,14.1,107,32.4,25.7,,
8630,05.03.05,13:00:00,1.6,6.7,136,13.3,28.9,,
7156,02.01.05,16:00:00,2.8,10.5,167,13.4,43.1,,
2796,05.07.04,0:00:00,1.5,9.0,93,24.7,38.7,,
3718,12.08.04,19:00:00,1.6,8.7,86,32.1,38.7,,
5022,06.10.04,4:00:00,-200.0,2.8,-200,20.0,62.9,,
4412,10.09.04,12:00:00,2.4,15.4,151,34.3,17.7,,
1696,20.05.04,13:00:00,2.0,13.3,107,31.3,22.3,129.3673671,60.9454057
8200,15.02.05,12:00:00,1.2,4.4,134,12.8,19.8,,
3840,17.08.04,10:00:00,2.0,10.0,119,33.3,28.2,,
1707,20.05.04,9:00:00,4.0,18.1,83,20.7,46.4,130.92946990000002,64.50827149999999
4928,02.10.04,5:00:00,-200.0,5.8,-200,20.3,65.3,,
9221,29.03.05,8:00:00,5.1,26.3,140,14.4,65.8,,
6311,28.11.04,18:00:00,3.2,10.1,113,9.6,76.5,,
5911,12.11.04,5:00:00,0.6,1.7,50,13.7,64.4,,
7108,31.12.04,23:00:00,-200.0,4.6,-200,7.8,38.4,,
6523,07.12.04,16:00:00,2.6,14.1,117,17.7,51.5,,
7823,30.01.05,17:00:00,1.0,2.6,118,7.8,28.3,,
1653,18.05.04,20:00:00,3.4,15.8,135,23.7,30.0,117.95870740000001,63.48552781
2872,08.07.04,16:00:00,2.4,16.9,167,40.9,14.6,,
8816,13.03.05,7:00:00,-200.0,1.6,68,12.3,51.8,,
1967,31.05.04,7:00:00,1.6,14.2,83,17.4,50.9,,
1019,22.04.04,6:00:00,-200.0,5.7,-200,12.2,64.1,186.5322745,220.5252472
6636,12.12.04,22:00:00,2.1,7.1,110,9.6,51.7,,
3730,13.08.04,5:00:00,0.5,2.0,34,26.1,60.3,,
3567,06.08.04,15:00:00,1.9,10.7,110,34.1,33.3,,
6466,05.12.04,4:00:00,1.0,2.8,81,12.3,67.5,,
2954,11.07.04,23:00:00,1.5,8.7,108,22.7,43.9,,
4344,07.09.04,10:00:00,2.2,10.4,74,31.0,29.1,,
6361,30.11.04,10:00:00,3.6,15.9,141,13.7,70.9,,
3527,04.08.04,0:00:00,-200.0,9.2,89,27.5,51.5,,
7360,11.01.05,15:00:00,3.2,18.0,147,13.7,57.9,,
479,30.03.04,7:00:00,2.6,13.4,115,11.9,38.4,78.20756409,107.08931709999999
1249,01.05.04,1:00:00,2.4,9.3,84,17.3,68.3,40.52404279,171.91915690000002
6451,04.12.04,2:00:00,2.9,11.0,90,12.1,79.4,,
286,22.03.04,17:00:00,2.6,12.4,103,20.2,28.5,37.91933107,59.30602054
1595,16.05.04,7:00:00,0.8,4.2,58,13.8,51.4,124.920349,70.22715379
5610,30.10.04,9:00:00,3.0,14.4,106,17.4,79.3,,
8403,23.02.05,19:00:00,2.7,11.7,223,4.8,78.6,,
3241,23.07.04,18:00:00,3.0,19.9,156,38.7,20.3,,
413,27.03.04,19:00:00,3.0,12.9,133,14.7,40.1,72.24574477,114.9470673
5158,11.10.04,16:00:00,3.4,18.3,99,23.2,52.0,,
2928,10.07.04,21:00:00,1.3,7.2,94,24.7,38.8,,
7424,14.01.05,6:00:00,1.3,5.0,109,5.3,80.4,,
2354,16.06.04,9:00:00,3.3,14.9,128,24.1,46.5,,
5250,15.10.04,20:00:00,-200.0,11.9,-200,19.6,56.0,,
303,23.03.04,7:00:00,1.1,4.6,88,9.8,75.0,80.393763,105.70676929999999
2288,14.06.04,4:00:00,-200.0,0.5,18,19.1,50.7,,
117,15.03.04,17:00:00,2.8,14.8,110,23.8,31.3,41.46516507,55.84981824
9225,30.03.05,2:00:00,0.7,2.4,68,11.6,74.9,,
711,09.04.04,7:00:00,2.6,-200.0,111,-200.0,-200.0,134.6398363,141.46295700000002
8617,04.03.05,15:00:00,3.9,16.1,194,12.5,43.4,,
4982,04.10.04,22:00:00,-200.0,8.9,-200,21.2,59.3,,
6122,20.11.04,9:00:00,2.8,15.3,214,7.2,43.2,,
7642,23.01.05,9:00:00,-200.0,4.4,121,3.1,53.5,,
4086,28.08.04,0:00:00,0.8,-200.0,69,-200.0,-200.0,,
8379,22.02.05,10:00:00,3.5,15.0,255,6.1,74.0,,
5501,25.10.04,18:00:00,8.4,44.5,149,21.0,64.9,,
4569,17.09.04,2:00:00,0.5,3.2,40,20.6,56.6,,
4801,26.09.04,22:00:00,1.9,8.6,115,18.0,42.7,,
6120,20.11.04,20:00:00,1.2,8.4,149,9.5,35.9,,
5232,14.10.04,15:00:00,-200.0,11.3,-200,21.9,44.9,,
7605,21.01.05,8:00:00,4.5,22.6,174,7.2,62.2,,
6010,16.11.04,2:00:00,0.8,2.2,73,11.0,42.6,,
5429,22.10.04,18:00:00,8.4,40.0,163,24.3,54.3,,
4542,16.09.04,2:00:00,0.5,2.6,49,21.7,67.4,,
3173,20.07.04,8:00:00,-200.0,37.3,166,27.0,38.7,,
7461,15.01.05,12:00:00,2.7,11.6,177,7.5,64.4,,
5694,03.11.04,5:00:00,0.5,2.7,35,16.8,71.9,,
1861,27.05.04,22:00:00,-200.0,10.3,-200,20.5,35.3,,
3305,26.07.04,16:00:00,-200.0,8.2,101,35.4,23.8,,
604,04.04.04,20:00:00,-200.0,10.5,-200,18.5,48.9,139.2883333,148.7366882
7827,30.01.05,20:00:00,1.6,3.9,163,5.0,31.1,,
2040,03.06.04,20:00:00,-200.0,14.5,-200,24.1,34.8,,
4492,13.09.04,8:00:00,-200.0,32.1,-200,21.8,61.8,,
3325,27.07.04,15:00:00,-200.0,6.2,82,32.6,22.5,,
5735,04.11.04,15:00:00,-200.0,24.5,156,26.8,43.3,,
260,21.03.04,12:00:00,1.8,7.6,82,19.4,46.1,31.04355817,54.53380494
9187,28.03.05,12:00:00,1.4,4.2,96,21.6,46.8,,
4302,06.09.04,3:00:00,0.5,1.0,-200,24.0,45.5,,
7131,01.01.05,17:00:00,3.0,12.1,165,10.9,39.7,,
6720,15.12.04,23:00:00,1.7,-200.0,96,-200.0,-200.0,,
2348,16.06.04,13:00:00,2.4,13.7,110,32.7,25.8,,
8035,08.02.05,6:00:00,0.6,1.6,92,6.1,43.6,,
3880,19.08.04,23:00:00,-200.0,5.6,-200,29.0,51.7,,
7411,13.01.05,12:00:00,3.2,12.8,178,13.1,58.5,,
2504,23.06.04,3:00:00,0.3,2.4,-200,21.7,47.3,,
7988,06.02.05,21:00:00,1.4,3.7,149,5.8,35.4,,
5314,18.10.04,1:00:00,-200.0,4.4,-200,14.8,64.3,,
1074,24.04.04,16:00:00,1.9,10.7,95,27.0,31.8,176.62732549999998,207.958069
5358,20.10.04,4:00:00,-200.0,8.8,-200,18.7,73.4,,
963,19.04.04,16:00:00,-200.0,11.5,-200,10.5,79.0,179.2380746,206.77468000000002
1647,18.05.04,11:00:00,1.9,11.0,103,27.4,22.8,126.5025033,67.05735956
6158,22.11.04,8:00:00,2.4,16.2,232,4.9,55.8,,
3289,25.07.04,22:00:00,1.5,6.8,88,27.3,44.1,,
5085,08.10.04,13:00:00,3.6,21.2,100,27.7,39.2,,
2553,25.06.04,2:00:00,0.9,3.6,52,24.8,43.4,,
6076,18.11.04,12:00:00,4.2,19.7,251,15.8,50.1,,
8915,17.03.05,1:00:00,1.2,4.4,111,13.3,51.4,,
6885,22.12.04,18:00:00,2.9,9.9,153,6.8,36.1,,
6253,26.11.04,0:00:00,2.5,9.5,114,9.3,64.5,,
7832,31.01.05,4:00:00,0.4,0.4,37,3.7,37.7,,
4979,04.10.04,1:00:00,-200.0,5.2,-200,18.4,71.6,,
2236,11.06.04,7:00:00,4.6,24.8,131,20.5,48.2,,
3482,02.08.04,0:00:00,1.9,9.1,68,27.3,57.1,,
5520,26.10.04,14:00:00,4.5,26.4,158,24.9,48.3,,
3839,17.08.04,23:00:00,-200.0,8.2,-200,28.0,36.1,,
3865,18.08.04,20:00:00,1.6,8.5,70,31.3,39.5,,
4099,28.08.04,16:00:00,-200.0,6.7,-200,35.9,20.3,,
2500,22.06.04,19:00:00,4.1,23.1,148,29.0,30.4,,
3310,26.07.04,0:00:00,1.5,5.9,93,26.6,47.2,,
1556,14.05.04,22:00:00,2.3,12.4,111,20.8,34.5,117.1301148,70.24840641
4625,19.09.04,16:00:00,1.8,8.3,106,34.6,22.4,,
6327,29.11.04,7:00:00,2.0,9.8,90,8.7,83.7,,
2660,29.06.04,9:00:00,3.2,15.5,121,28.3,39.8,,
7137,02.01.05,6:00:00,1.0,2.4,82,2.4,71.9,,
5149,11.10.04,6:00:00,1.1,7.2,53,18.6,74.9,,
868,15.04.04,18:00:00,5.9,28.1,149,18.3,44.1,127.235279,167.75238969999998
214,19.03.04,10:00:00,4.0,19.2,149,13.9,57.1,37.19201479,55.83417325
3989,23.08.04,8:00:00,-200.0,14.9,-200,21.7,49.1,,
3599,07.08.04,19:00:00,1.6,8.3,86,32.2,37.4,,
6437,03.12.04,17:00:00,6.9,32.6,173,17.7,68.3,,
4403,10.09.04,1:00:00,1.0,5.5,75,24.4,39.1,,
6213,24.11.04,16:00:00,3.4,17.4,160,13.7,66.8,,
5287,17.10.04,7:00:00,-200.0,2.3,-200,15.9,62.1,,
7576,20.01.05,23:00:00,1.7,6.4,120,7.3,52.8,,
7972,05.02.05,9:00:00,4.1,11.3,310,4.1,52.7,,
8708,08.03.05,23:00:00,1.4,5.4,167,6.6,46.0,,
6384,01.12.04,9:00:00,5.0,24.6,145,9.5,78.3,,
5947,13.11.04,20:00:00,2.3,9.1,142,17.2,51.5,,
9008,21.03.05,3:00:00,0.8,2.7,81,13.1,68.6,,
8234,16.02.05,19:00:00,3.4,15.9,171,7.0,43.4,,
9186,28.03.05,9:00:00,1.3,4.9,101,16.4,67.3,,
1126,26.04.04,13:00:00,1.6,6.9,75,20.2,30.7,187.7853451,201.679745
5894,11.11.04,1:00:00,2.1,9.4,132,9.3,73.5,,
661,07.04.04,14:00:00,1.4,6.1,79,14.4,51.8,138.9740003,168.4674924
2079,05.06.04,15:00:00,1.3,7.3,75,27.6,35.1,,
7524,18.01.05,22:00:00,0.1,3.3,104,11.3,71.8,,
1695,20.05.04,10:00:00,2.2,12.4,117,26.1,30.0,115.11519399999999,68.56184052
5142,11.10.04,2:00:00,0.5,1.4,32,19.4,70.4,,
5155,11.10.04,12:00:00,2.7,15.2,91,21.1,64.0,,
7049,29.12.04,3:00:00,-200.0,2.2,-200,9.0,76.5,,
5668,01.11.04,1:00:00,3.7,17.8,77,20.1,71.1,,
5356,19.10.04,9:00:00,-200.0,30.1,-200,16.6,68.4,,
348,25.03.04,23:00:00,1.2,4.5,92,9.9,59.5,84.89316558,102.7638854
4848,28.09.04,8:00:00,4.3,27.1,135,14.4,55.7,,
2068,04.06.04,23:00:00,2.9,13.1,-200,21.7,44.7,,
7948,04.02.05,9:00:00,3.9,20.1,301,4.4,61.1,,
3004,13.07.04,19:00:00,4.9,27.1,173,28.9,24.1,,
4796,26.09.04,8:00:00,1.6,8.2,83,14.6,56.4,,
3745,13.08.04,10:00:00,1.5,7.9,93,33.4,35.1,,
7449,15.01.05,4:00:00,-200.0,4.8,115,2.4,86.6,,
6404,02.12.04,8:00:00,4.2,21.6,131,12.9,73.8,,
5390,21.10.04,13:00:00,2.6,14.8,-200,26.6,49.3,,
2615,27.06.04,18:00:00,1.6,7.9,110,38.9,21.4,,
1679,19.05.04,17:00:00,3.4,19.3,149,28.8,26.3,125.1949315,67.9793676
2579,26.06.04,0:00:00,1.2,6.2,79,24.0,31.2,,
4655,20.09.04,10:00:00,3.5,18.1,173,26.4,41.9,,
7668,24.01.05,3:00:00,-200.0,1.9,-200,5.8,59.0,,
8455,26.02.05,6:00:00,0.9,2.7,103,4.6,60.5,,
5306,17.10.04,13:00:00,-200.0,11.1,-200,21.6,40.4,,
7094,31.12.04,15:00:00,-200.0,4.1,-200,12.7,28.4,,
4093,28.08.04,3:00:00,0.6,3.8,-200,19.8,59.3,,
7505,17.01.05,12:00:00,2.7,13.4,178,10.5,34.7,,
3003,13.07.04,7:00:00,4.0,23.8,111,17.3,54.3,,
1348,05.05.04,7:00:00,3.5,19.1,107,15.1,76.8,38.77315528,129.7560326
2447,20.06.04,12:00:00,1.0,-200.0,59,-200.0,-200.0,,
5047,07.10.04,3:00:00,-200.0,3.1,-200,20.9,62.2,,
2533,24.06.04,13:00:00,1.1,5.7,55,32.8,28.9,,
3739,13.08.04,21:00:00,1.0,4.7,71,26.9,47.5,,
3647,09.08.04,23:00:00,1.4,9.1,66,27.5,54.4,,
4761,25.09.04,6:00:00,0.4,1.3,3,15.5,53.3,,
1680,19.05.04,20:00:00,3.8,18.4,154,22.9,36.5,112.2061989,64.67380645
4950,03.10.04,5:00:00,-200.0,3.3,-200,20.1,65.3,,
439,29.03.04,2:00:00,0.5,1.1,38,10.4,46.6,80.51864409,106.92951359999999
648,06.04.04,20:00:00,3.2,14.8,126,15.6,50.7,131.4246312,145.1313464
4936,02.10.04,15:00:00,-200.0,8.7,-200,25.7,48.8,,
1218,30.04.04,22:00:00,3.0,14.6,102,18.1,66.1,52.94463197,152.17668510000001
4951,03.10.04,6:00:00,-200.0,3.2,-200,19.9,66.0,,
2817,06.07.04,5:00:00,0.7,4.6,66,21.8,52.3,,
4007,24.08.04,17:00:00,1.7,8.7,90,36.9,20.9,,
1502,12.05.04,20:00:00,2.2,9.4,112,16.7,47.2,115.36601100000001,69.2002189
9010,21.03.05,2:00:00,1.1,3.3,95,13.3,67.0,,
6956,25.12.04,1:00:00,5.6,14.2,164,9.6,65.9,,
3163,20.07.04,18:00:00,-200.0,12.9,133,38.3,19.4,,
3028,14.07.04,7:00:00,4.7,27.5,142,19.9,46.5,,
6819,19.12.04,17:00:00,3.6,13.0,148,4.7,82.8,,
2185,09.06.04,17:00:00,3.5,21.6,194,39.6,16.7,,
8202,15.02.05,7:00:00,0.5,2.5,94,6.0,41.5,,
1505,12.05.04,18:00:00,2.9,13.4,107,17.4,48.6,117.2854087,60.19200195
5921,12.11.04,11:00:00,1.6,6.9,122,16.3,58.4,,
6364,30.11.04,19:00:00,6.3,28.0,178,11.6,64.3,,
7548,19.01.05,12:00:00,-200.0,2.7,117,6.3,73.0,,
8127,12.02.05,1:00:00,4.3,12.9,229,5.3,66.8,,
6923,24.12.04,6:00:00,3.5,8.2,136,4.8,61.9,,
1964,31.05.04,13:00:00,1.5,14.2,119,30.9,24.4,,
2939,11.07.04,13:00:00,0.4,2.8,36,31.8,22.3,,
4856,29.09.04,2:00:00,0.5,2.2,60,17.4,53.4,,
6510,07.12.04,4:00:00,-200.0,2.6,64,11.9,71.4,,
8516,28.02.05,21:00:00,1.6,3.6,123,1.0,36.6,,
8501,27.02.05,0:00:00,4.8,11.5,189,6.3,60.4,,
8576,03.03.05,1:00:00,1.4,4.2,138,4.4,43.3,,
7375,12.01.05,5:00:00,1.0,4.7,83,10.0,74.8,,
5295,17.10.04,3:00:00,-200.0,3.6,-200,15.8,75.5,,
1076,24.04.04,8:00:00,2.5,15.0,86,16.7,51.9,175.2152344,218.3578861
3327,27.07.04,0:00:00,-200.0,6.0,80,28.3,35.5,,
4807,27.09.04,4:00:00,0.6,3.4,64,14.0,62.6,,
4346,07.09.04,20:00:00,3.3,15.3,-200,27.4,30.8,,
5726,04.11.04,23:00:00,2.4,13.3,74,18.8,70.6,,
