,Unnamed: 0,CO,Benzene,NO2,Temperature,Humidity(%),DateTime
305,5668,3.7,17.8,77,20.1,71.1,2004-11-01 01:00:00
308,4848,4.3,27.1,135,14.4,55.7,2004-09-28 08:00:00
310,7948,3.9,20.1,301,4.4,61.1,2005-02-04 09:00:00
311,3004,4.9,27.1,173,28.9,24.1,2004-07-13 19:00:00
312,4796,1.6,8.2,83,14.6,56.4,2004-09-26 08:00:00
313,3745,1.5,7.9,93,33.4,35.1,2004-08-13 10:00:00
315,6404,4.2,21.6,131,12.9,73.8,2004-12-02 08:00:00
317,2615,1.6,7.9,110,38.9,21.4,2004-06-27 18:00:00
318,1679,3.4,19.3,149,28.8,26.3,2004-05-19 17:00:00
319,2579,1.2,6.2,79,24.0,31.2,2004-06-26 00:00:00
320,4655,3.5,18.1,173,26.4,41.9,2004-09-20 10:00:00
322,8455,0.9,2.7,103,4.6,60.5,2005-02-26 06:00:00
326,7505,2.7,13.4,178,10.5,34.7,2005-01-17 12:00:00
327,3003,4.0,23.8,111,17.3,54.3,2004-07-13 07:00:00
328,1348,3.5,19.1,107,15.1,76.8,2004-05-05 07:00:00
331,2533,1.1,5.7,55,32.8,28.9,2004-06-24 13:00:00
332,3739,1.0,4.7,71,26.9,47.5,2004-08-13 21:00:00
333,3647,1.4,9.1,66,27.5,54.4,2004-08-09 23:00:00
334,4761,0.4,1.3,3,15.5,53.3,2004-09-25 06:00:00
335,1680,3.8,18.4,154,22.9,36.5,2004-05-19 20:00:00
338,648,3.2,14.8,126,15.6,50.7,2004-04-06 20:00:00
340,1218,3.0,14.6,102,18.1,66.1,2004-04-30 22:00:00
342,2817,0.7,4.6,66,21.8,52.3,2004-07-06 05:00:00
343,4007,1.7,8.7,90,36.9,20.9,2004-08-24 17:00:00
344,1502,2.2,9.4,112,16.7,47.2,2004-05-12 20:00:00
345,9010,1.1,3.3,95,13.3,67.0,2005-03-21 02:00:00
346,6956,5.6,14.2,164,9.6,65.9,2004-12-25 01:00:00
348,3028,4.7,27.5,142,19.9,46.5,2004-07-14 07:00:00
349,6819,3.6,13.0,148,4.7,82.8,2004-12-19 17:00:00
350,2185,3.5,21.6,194,39.6,16.7,2004-06-09 17:00:00
351,8202,0.5,2.5,94,6.0,41.5,2005-02-15 07:00:00
352,1505,2.9,13.4,107,17.4,48.6,2004-05-12 18:00:00
353,5921,1.6,6.9,122,16.3,58.4,2004-11-12 11:00:00
354,6364,6.3,28.0,178,11.6,64.3,2004-11-30 19:00:00
356,8127,4.3,12.9,229,5.3,66.8,2005-02-12 01:00:00
357,6923,3.5,8.2,136,4.8,61.9,2004-12-24 06:00:00
358,1964,1.5,14.2,119,30.9,24.4,2004-05-31 13:00:00
359,2939,0.4,2.8,36,31.8,22.3,2004-07-11 13:00:00
360,4856,0.5,2.2,60,17.4,53.4,2004-09-29 02:00:00
362,8516,1.6,3.6,123,1.0,36.6,2005-02-28 21:00:00
363,8501,4.8,11.5,189,6.3,60.4,2005-02-27 00:00:00
364,8576,1.4,4.2,138,4.4,43.3,2005-03-03 01:00:00
365,7375,1.0,4.7,83,10.0,74.8,2005-01-12 05:00:00
367,1076,2.5,15.0,86,16.7,51.9,2004-04-24 08:00:00
369,4807,0.6,3.4,64,14.0,62.6,2004-09-27 04:00:00
371,5726,2.4,13.3,74,18.8,70.6,2004-11-04 23:00:00
372,7410,2.7,14.1,134,14.0,56.3,2005-01-13 15:00:00
373,7820,0.9,1.6,95,6.9,35.6,2005-01-30 13:00:00
374,4900,6.3,34.0,182,24.6,50.0,2004-09-30 18:00:00
375,6054,1.1,3.6,89,5.9,76.6,2004-11-18 05:00:00
376,8604,2.3,7.9,175,7.5,58.7,2005-03-04 21:00:00
377,4720,2.6,15.8,130,29.8,38.0,2004-09-23 14:00:00
378,7409,2.9,11.5,123,9.4,75.0,2005-01-13 00:00:00
381,7292,2.8,13.1,147,13.8,50.9,2005-01-08 13:00:00
382,1515,5.1,26.6,121,18.8,52.4,2004-05-12 09:00:00
384,4375,0.4,2.7,65,21.7,33.4,2004-09-09 05:00:00
385,8375,2.5,10.9,218,7.4,69.3,2005-02-22 16:00:00
388,5733,3.6,23.3,88,17.8,65.4,2004-11-04 09:00:00
389,9227,0.8,3.8,78,11.0,73.1,2005-03-30 06:00:00
390,752,0.9,3.1,46,22.0,19.0,2004-04-11 15:00:00
391,7984,1.0,2.4,120,5.1,37.9,2005-02-06 23:00:00
392,7314,1.5,5.7,111,14.0,59.7,2005-01-09 11:00:00
393,1213,2.6,15.4,94,21.4,50.9,2004-04-30 14:00:00
394,5797,0.7,2.7,63,18.0,34.7,2004-11-07 11:00:00
396,3001,3.6,16.7,135,21.7,42.4,2004-07-13 09:00:00
397,4097,1.2,7.1,62,20.7,53.3,2004-08-28 08:00:00
401,7439,5.0,18.2,190,8.2,75.2,2005-01-14 21:00:00
402,7675,1.4,5.7,183,8.7,46.7,2005-01-24 10:00:00
403,1055,4.0,22.6,95,14.0,58.0,2004-04-23 07:00:00
404,1484,2.7,14.2,114,18.1,58.7,2004-05-11 22:00:00
405,5415,2.1,14.3,81,24.5,54.5,2004-10-22 11:00:00
406,3054,0.4,2.1,45,21.6,42.2,2004-07-16 04:00:00
407,1071,1.9,8.7,74,26.9,32.1,2004-04-24 13:00:00
408,7147,1.8,5.2,112,4.7,62.9,2005-01-02 00:00:00
409,1130,2.6,9.3,109,17.3,38.8,2004-04-26 20:00:00
410,8834,1.4,8.5,159,14.2,57.8,2005-03-13 13:00:00
411,3788,0.7,3.5,36,23.9,56.3,2004-08-15 08:00:00
414,9028,6.4,29.7,232,18.6,46.4,2005-03-21 19:00:00
415,8857,3.5,15.7,163,10.8,64.4,2005-03-14 08:00:00
416,8310,0.5,1.0,40,8.0,54.7,2005-02-20 06:00:00
417,8412,1.6,4.7,172,3.2,83.0,2005-02-24 00:00:00
418,5953,3.3,12.1,133,21.5,43.1,2004-11-13 14:00:00
419,2584,1.6,9.0,101,34.5,18.9,2004-06-26 11:00:00
421,7123,2.4,8.9,153,10.9,35.9,2005-01-01 14:00:00
423,2385,0.5,3.1,43,24.0,45.8,2004-06-18 02:00:00
424,8369,1.7,6.9,201,9.1,58.4,2005-02-22 11:00:00
426,2832,4.0,23.8,159,32.6,20.6,2004-07-06 20:00:00
428,3449,0.9,6.2,40,25.1,53.9,2004-08-01 02:00:00
430,2865,0.6,5.4,74,25.6,38.8,2004-07-08 05:00:00
431,6293,4.8,20.5,187,16.4,68.2,2004-11-27 16:00:00
433,6933,6.1,16.9,204,10.8,52.4,2004-12-24 15:00:00
434,4599,1.1,5.3,73,28.1,28.6,2004-09-18 15:00:00
437,4740,0.7,4.6,64,22.3,55.8,2004-09-24 02:00:00
438,6934,6.5,18.8,165,7.2,58.6,2004-12-24 11:00:00
439,3884,1.2,6.8,44,39.9,23.8,2004-08-19 16:00:00
442,8958,0.7,1.9,79,11.8,67.1,2005-03-19 06:00:00
443,2851,2.2,14.2,166,34.6,21.1,2004-07-07 10:00:00
445,3053,4.0,25.2,151,22.9,47.9,2004-07-15 08:00:00
446,8894,2.5,11.0,169,26.8,17.9,2005-03-16 14:00:00
448,7698,0.3,3.9,126,5.7,44.1,2005-01-25 12:00:00
449,7238,1.7,5.4,116,12.3,64.6,2005-01-06 01:00:00
450,1216,3.2,14.9,116,17.3,72.4,2004-04-30 12:00:00
451,6110,1.5,10.6,138,14.8,15.6,2004-11-20 15:00:00
452,3638,1.1,6.3,51,25.5,61.6,2004-08-09 01:00:00
453,2842,1.6,9.2,95,26.3,33.7,2004-07-07 01:00:00
454,4708,5.5,29.0,165,23.5,52.0,2004-09-22 09:00:00
455,2715,2.9,14.6,134,28.2,47.1,2004-07-01 09:00:00
459,1318,2.6,12.9,97,19.9,57.1,2004-05-04 15:00:00
460,1168,2.5,14.2,121,27.4,28.2,2004-04-28 12:00:00
461,8666,2.5,6.2,194,8.6,38.1,2005-03-06 19:00:00
462,5072,0.8,4.4,43,18.2,70.3,2004-10-08 04:00:00
463,7977,0.8,1.8,88,1.2,51.9,2005-02-06 05:00:00
464,3762,1.0,4.5,63,25.1,55.7,2004-08-14 01:00:00
465,6053,10.2,47.7,192,13.7,52.8,2004-11-17 18:00:00
466,8502,0.7,1.4,79,1.0,34.3,2005-02-28 23:00:00
467,6634,1.9,6.9,111,4.0,69.0,2004-12-12 08:00:00
469,8701,1.5,4.4,157,3.0,47.7,2005-03-08 00:00:00
470,2371,1.9,9.8,105,27.4,37.0,2004-06-17 12:00:00
472,8416,1.9,7.7,189,7.9,69.0,2005-02-24 14:00:00
473,6452,2.6,10.6,122,13.0,77.8,2004-12-04 12:00:00
476,3271,0.4,1.5,29,24.4,57.9,2004-07-25 07:00:00
477,759,1.1,3.7,58,8.7,64.3,2004-04-11 08:00:00
478,7868,3.2,14.4,162,13.5,44.8,2005-02-01 16:00:00
479,8438,2.1,8.4,167,10.9,44.8,2005-02-25 13:00:00
481,4616,0.9,3.8,54,18.8,59.5,2004-09-19 04:00:00
482,1607,1.2,7.1,64,31.5,21.9,2004-05-16 15:00:00
483,4649,2.4,11.9,122,31.8,27.4,2004-09-20 15:00:00
485,3998,1.0,6.0,86,33.8,22.8,2004-08-24 14:00:00
487,2974,1.7,8.5,104,21.7,46.3,2004-07-12 09:00:00
488,3048,2.3,15.6,108,21.3,48.4,2004-07-15 07:00:00
490,4628,2.1,10.2,115,30.0,28.5,2004-09-19 11:00:00
491,9037,1.3,5.9,106,13.3,65.6,2005-03-22 00:00:00
492,1486,3.3,18.1,128,19.2,52.3,2004-05-11 21:00:00
493,2946,0.7,4.5,65,29.6,24.1,2004-07-11 18:00:00
494,1981,1.6,12.0,75,20.5,66.9,2004-06-01 22:00:00
496,2713,2.9,17.3,157,36.9,24.7,2004-07-01 17:00:00
497,4853,7.5,39.3,209,23.0,33.6,2004-09-28 19:00:00
498,2249,1.1,6.3,52,29.1,35.1,2004-06-12 19:00:00
499,7833,0.8,1.0,61,4.0,36.4,2005-01-31 02:00:00
500,7473,1.0,2.6,112,9.0,39.5,2005-01-16 10:00:00
503,6784,1.1,5.4,96,10.0,76.2,2004-12-18 07:00:00
504,6614,1.2,5.2,106,9.3,43.1,2004-12-11 07:00:00
505,6860,2.6,9.4,157,7.4,36.5,2004-12-21 10:00:00
506,6958,5.9,15.6,169,9.4,66.1,2004-12-25 00:00:00
507,2731,1.7,11.0,117,38.8,20.7,2004-07-02 14:00:00
508,1566,0.5,2.8,44,15.7,46.9,2004-05-15 05:00:00
509,2801,2.1,11.7,137,37.4,17.3,2004-07-05 13:00:00
511,1718,2.7,10.2,122,30.2,22.6,2004-05-21 17:00:00
512,3811,1.3,6.9,69,38.8,15.8,2004-08-16 17:00:00
513,6179,2.1,10.0,111,8.9,79.3,2004-11-23 07:00:00
514,2670,0.5,2.6,42,26.9,51.8,2004-06-30 04:00:00
516,6202,1.8,8.7,86,9.5,80.3,2004-11-24 07:00:00
517,1655,2.9,17.0,126,30.9,19.1,2004-05-18 13:00:00
518,4549,1.3,6.8,79,18.7,73.1,2004-09-16 11:00:00
519,7559,1.8,7.6,130,8.9,54.4,2005-01-19 18:00:00
520,2299,1.5,6.7,82,22.3,44.9,2004-06-14 19:00:00
521,6226,2.2,10.7,100,4.0,83.1,2004-11-25 07:00:00
522,5106,2.6,15.9,92,29.6,42.3,2004-10-09 15:00:00
524,6793,3.9,19.0,162,11.1,24.8,2004-12-18 20:00:00
528,1173,3.2,21.9,126,27.7,26.5,2004-04-28 14:00:00
529,9077,7.2,32.0,230,19.5,35.6,2005-03-23 20:00:00
531,1463,2.5,17.8,104,23.4,32.0,2004-05-10 17:00:00
532,1128,2.1,8.9,89,15.0,41.7,2004-04-26 08:00:00
533,1691,0.9,6.6,68,15.8,59.0,2004-05-20 06:00:00
535,7419,3.9,19.9,160,12.3,63.0,2005-01-13 17:00:00
536,2300,1.2,5.3,72,25.5,38.3,2004-06-14 12:00:00
537,3996,1.2,5.7,50,22.2,43.1,2004-08-24 01:00:00
538,5469,2.1,10.9,66,19.4,71.4,2004-10-24 02:00:00
539,8652,0.9,2.1,100,7.2,47.8,2005-03-06 02:00:00
540,4897,3.9,23.4,146,25.8,44.8,2004-09-30 16:00:00
541,5487,3.5,19.6,82,17.7,75.6,2004-10-25 22:00:00
542,8551,0.8,1.5,93,0.0,29.7,2005-03-02 01:00:00
544,2606,1.0,6.4,53,25.2,47.8,2004-06-27 02:00:00
546,1287,1.7,10.8,90,28.4,23.6,2004-05-03 13:00:00
547,7996,1.8,5.3,179,5.8,36.4,2005-02-06 20:00:00
548,1927,0.1,3.1,37,17.2,47.2,2004-05-30 05:00:00
550,866,4.6,19.8,134,16.2,53.2,2004-04-15 21:00:00
552,8499,1.7,6.4,144,7.8,49.9,2005-02-27 10:00:00
553,6901,2.0,5.4,127,5.2,44.1,2004-12-23 00:00:00
554,4690,1.0,5.1,74,21.0,61.3,2004-09-22 01:00:00
555,5758,4.6,24.2,151,20.7,55.5,2004-11-05 11:00:00
556,1355,0.9,3.9,65,15.4,58.8,2004-05-06 22:00:00
557,5136,1.8,5.8,81,19.4,80.5,2004-10-10 15:00:00
