Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
15.03.04,2:00:00,1.8,7,88,13.4,61.3,46.74021532,52.77342717
15.03.04,0:00:00,1.8,7.4,99,14.8,54.7,36.74879276,53.55739662
15.03.04,1:00:00,1.8,6.9,93,14,57,41.55375968,53.44288809
15.03.04,7:00:00,2.2,9.7,89,11.3,70.2,26.80183361,51.76547853
15.03.04,15:00:00,2.5,12.1,104,24.4,28.9,39.16137859,53.79001568
15.03.04,16:00:00,2.3,11.5,99,24.4,29.4,38.09978131,56.34804842
15.03.04,14:00:00,2.9,15.4,111,23.9,30,50.64379097,52.76677209
15.03.04,13:00:00,2.9,14.9,119,23.3,32.2,39.75437667,51.71488838
15.03.04,12:00:00,3.1,14.1,134,22,34.1,33.56034623,58.40029436
15.03.04,22:00:00,3.2,15.3,125,15.7,60.2,43.39502057,58.04457606
15.03.04,17:00:00,2.8,14.8,110,23.8,31.3,41.46516507,55.84981824
15.03.04,11:00:00,4.2,20.1,155,19.8,38.5,34.43008845,52.8580383
15.03.04,21:00:00,4.2,19.9,145,16.7,57.4,45.12697232,55.6462015
15.03.04,10:00:00,5.8,26.6,157,17.4,45.6,28.54018068,54.96537221
15.03.04,8:00:00,5.5,25.9,114,12.4,63.9,23.85485859,52.73550607
15.03.04,20:00:00,6.5,31,165,18.3,52.6,44.52109721,51.72654886
15.03.04,18:00:00,6.1,32.1,162,22.5,35.4,38.95216528,57.3592925
15.03.04,9:00:00,8.1,36.7,149,14.8,54.3,46.42516608,52.97539341
15.03.04,19:00:00,8,39.2,187,20.4,42.5,22.94413534,52.54839815
16.03.04,3:00:00,0.7,2.3,-200,13.6,62.1,41.09115281,53.63146991
16.03.04,5:00:00,0.6,2,52,12.8,63.2,23.11555594,60.96261962
16.03.04,4:00:00,-200,2.6,59,12.3,66.2,37.68150778,55.43460984
16.03.04,2:00:00,0.8,2.8,61,14.8,59.2,33.19501265,56.0073489
16.03.04,6:00:00,0.9,3.5,64,11.2,68.5,25.87872648,53.60804095
16.03.04,1:00:00,1.2,5.4,88,14.8,60.6,23.75495546,50.78211583
16.03.04,7:00:00,1.3,5.1,70,11,66.5,24.66271701,55.7443855
16.03.04,23:00:00,1.7,9.1,117,16.7,48.9,32.39038082,55.51329083
16.03.04,15:00:00,2.8,14.6,128,27,20.2,36.75046367,55.48642064
16.03.04,0:00:00,2.1,11.1,103,14.1,65.7,39.43071713,51.11159341
16.03.04,22:00:00,2.6,13.5,138,17.9,45.9,46.1879692,56.27324608
16.03.04,17:00:00,2.9,15.8,133,28,19.1,40.3521214,50.86672679
16.03.04,16:00:00,2.9,16.6,129,28.2,18.6,27.20170842,56.31791954
16.03.04,18:00:00,3.4,17.8,139,23.9,25.7,33.57399569,54.37017108
16.03.04,12:00:00,3.3,18.3,154,24.4,27.4,29.5821204,52.77761067
16.03.04,14:00:00,3.8,20.4,161,25.8,23.2,25.38511462,53.31010875
16.03.04,20:00:00,3.2,15.8,143,20.4,36.7,26.61954635,50.48496895
16.03.04,9:00:00,3.7,19.7,95,13.6,56.3,22.2234326,59.57446284
16.03.04,8:00:00,3.4,16.2,97,11.7,63.7,45.57711087,53.23062475
16.03.04,19:00:00,3.9,19.1,137,21.3,34.8,50.64768439,56.52400405
16.03.04,11:00:00,4.1,20,162,21.4,33.3,47.25334154,58.67062017
16.03.04,13:00:00,4,22.3,161,25.3,26.1,20.02594916,56.86776532
16.03.04,10:00:00,5.3,25.1,150,17.8,42.9,46.3885446,54.40496426
16.03.04,21:00:00,5.1,24.9,177,19,41.3,42.43786678,50.43228644
17.03.04,5:00:00,0.5,1.6,40,11.8,58,33.31724676,52.3470406
17.03.04,4:00:00,-200,1.9,60,12.7,57.9,46.19501714,50.216615
17.03.04,6:00:00,0.5,1.9,53,11.9,57.4,43.75408396,52.15184817
17.03.04,3:00:00,0.7,2.6,-200,13.1,57.9,26.34273913,58.62736159
17.03.04,2:00:00,0.9,4.1,79,14.1,55.6,48.16061548,54.44932294
17.03.04,1:00:00,1.2,5.4,90,15.5,51.9,40.196784,55.36396608
17.03.04,7:00:00,1.6,7.5,84,9.9,65.2,29.12007483,59.8610425
17.03.04,0:00:00,1.7,8.6,107,15.5,52.9,48.76985954,60.63847816
17.03.04,15:00:00,2,10.4,104,26.8,18.7,48.71659942,59.35512669
17.03.04,17:00:00,2.5,12.3,114,28.5,14.9,21.95171991,53.37766315
17.03.04,16:00:00,2.9,15.2,129,29.3,15.8,44.80364104,52.38300907
17.03.04,14:00:00,2.6,13.7,123,25.9,25.9,44.20596952,59.7520218
17.03.04,12:00:00,2.5,12.5,142,24.3,28.3,20.82141009,52.9158419
17.03.04,11:00:00,2.9,15.4,135,21.1,33.4,40.99399083,50.89679312
17.03.04,22:00:00,2.8,15,136,17.2,44.1,38.68268679,56.5051116
17.03.04,13:00:00,2.8,15.1,153,25.6,25.6,27.20379765,59.18268193
17.03.04,23:00:00,2.6,15.7,127,16,50.9,22.64217958,57.63524841
17.03.04,10:00:00,4.3,21.3,134,17.7,40.1,45.97405403,52.0517948
17.03.04,18:00:00,5,27,158,25.9,16,41.75351717,55.46156766
17.03.04,8:00:00,4.1,21.4,108,11.1,60.2,43.84060497,56.31376408
17.03.04,21:00:00,5.7,27.2,180,19.1,42.6,39.58533798,51.71936288
17.03.04,9:00:00,6.6,36.4,127,14.1,50,25.12490833,53.42354467
17.03.04,19:00:00,7.6,38.4,194,23.1,26.5,42.4817857,56.30501438
17.03.04,20:00:00,6.7,35.1,182,20.5,38.2,37.56968526,50.17247679
18.03.04,5:00:00,0.6,2.5,57,12,58.9,29.65246079,54.33113944
18.03.04,6:00:00,0.7,3,71,10.9,62.1,30.15505083,55.07188628
18.03.04,4:00:00,-200,2.9,78,11.6,61.9,46.12875628,55.21967211
18.03.04,3:00:00,0.7,3.6,-200,13.9,53.9,40.89942739,56.26450724
18.03.04,2:00:00,1,5.5,88,14.8,52.1,32.60154449,59.58170112
18.03.04,1:00:00,1.4,8.1,107,14.3,55.4,47.03055415,60.23912438
18.03.04,7:00:00,1.5,7.7,85,10.6,63.3,20.38022779,52.49921855
18.03.04,23:00:00,1.7,8.3,99,13.1,64.2,36.38512395,52.59535645
18.03.04,15:00:00,2.2,14.4,128,27,17.8,32.53288302,54.88107148
18.03.04,22:00:00,2.1,10.3,121,14.5,57.8,29.01433388,57.7354464
18.03.04,0:00:00,2.3,13,116,14.8,53.9,20.14024802,60.98848962
18.03.04,12:00:00,2.2,12.5,139,23.8,28.2,47.29813322,59.33962775
18.03.04,14:00:00,2.3,13.1,126,25.2,24.9,38.01116861,58.1972405
18.03.04,13:00:00,2.2,12.2,133,24.2,28.7,41.96294265,57.1345172
18.03.04,17:00:00,2.7,14.5,149,25.8,23.9,36.53149456,50.76046807
18.03.04,21:00:00,3.2,14.1,135,16,48.4,28.41245145,56.94017165
18.03.04,11:00:00,2.8,14.3,152,20.8,34.4,39.42552459,51.08668776
18.03.04,16:00:00,2.8,16.8,169,27.1,23.1,25.63712989,52.2384318
18.03.04,18:00:00,3.7,21.5,156,23,26.8,31.39507851,57.24417396
18.03.04,10:00:00,4.5,21.3,150,17.8,40.5,22.3005938,56.19170232
18.03.04,8:00:00,4.7,23.3,124,11.5,60,22.84888049,54.12595934
18.03.04,20:00:00,5.1,26,176,18.6,36.2,21.63211751,52.62376767
18.03.04,19:00:00,5.1,26.4,168,20.7,31.1,50.73275519,60.3534887
18.03.04,9:00:00,6.6,35.8,151,14.3,50.6,23.42845604,60.70016715
19.03.04,5:00:00,0.5,1.3,28,12.5,66.8,24.16018683,50.80688871
19.03.04,4:00:00,-200,1.8,32,12.3,67.7,43.76908102,53.3532843
19.03.04,3:00:00,0.7,2.5,-200,12.5,67.5,44.34790391,59.18146442
19.03.04,6:00:00,0.7,2.3,61,12.3,66.3,31.53442054,50.45675043
19.03.04,2:00:00,0.9,3.6,63,12.5,69.3,42.70657175,50.51755822
19.03.04,1:00:00,1.6,6.6,96,11.9,71.1,46.49065233,58.90429399
19.03.04,22:00:00,2.2,9.1,116,14.7,57.6,41.48240952,59.91719016
19.03.04,7:00:00,1.5,6.7,99,12.4,64.9,34.09930986,60.26767363
19.03.04,23:00:00,2.1,8.3,109,14.2,58.3,36.02693351,51.94807463
19.03.04,12:00:00,2.8,14,127,15.5,50.1,41.02600566,52.36263839
19.03.04,0:00:00,2,8.9,106,12,69.7,34.33079736,60.91309341
19.03.04,13:00:00,3,15.3,122,16.1,47.6,31.96121095,60.03101346
19.03.04,14:00:00,3.3,16.7,135,16.3,47.1,23.17880888,53.08277145
19.03.04,11:00:00,3.3,16.4,135,14.5,54.4,40.13242467,59.30272918
19.03.04,15:00:00,3.5,19,139,16.4,47.5,38.42220876,52.56436663
19.03.04,21:00:00,4,16.7,143,15.2,53.1,29.11011106,52.95523392
19.03.04,10:00:00,4,19.2,149,13.9,57.1,37.19201479,55.83417325
19.03.04,18:00:00,4.1,20.2,146,15.8,50.3,47.06371124,58.40796679
19.03.04,20:00:00,3.9,19.8,138,15.4,51.4,39.11621217,53.7147569
19.03.04,19:00:00,4.5,21.7,144,15.5,50.6,47.46522032,51.85319068
19.03.04,16:00:00,4,19.4,147,16.1,50.2,43.25901953,56.94653907
19.03.04,17:00:00,4.6,20.9,158,16,50.7,24.25051924,59.15019792
19.03.04,8:00:00,4.8,22.8,157,13,61.6,27.62716546,54.25694292
19.03.04,9:00:00,6.2,31.3,166,13.6,58.8,21.57200409,57.45808596
20.03.04,4:00:00,-200,2.9,55,13.8,54.6,34.37145988,60.5311835
20.03.04,5:00:00,0.8,3.1,53,13.6,55.1,44.81823633,60.18106143
20.03.04,6:00:00,0.8,2.5,67,13.6,59,44.61755343,57.71682597
20.03.04,3:00:00,1.3,3.4,-200,13.8,55.1,45.30399839,60.25983835
20.03.04,2:00:00,1.3,4.1,81,13.9,55.6,23.2403391,56.68859797
20.03.04,7:00:00,1.1,4.3,91,13.5,58.4,25.85017368,54.35180922
20.03.04,1:00:00,1.6,5.2,83,13.9,55.9,25.6540959,55.12919396
20.03.04,0:00:00,1.7,5.8,92,13.8,57.9,29.67584376,53.2440458
20.03.04,16:00:00,1.6,6.7,76,19.5,42.3,21.4422824,58.45021535
20.03.04,8:00:00,2.1,8.9,113,13.8,58,37.52272047,55.37735164
20.03.04,15:00:00,1.7,7.6,87,19.5,42.3,48.67534778,51.13202482
20.03.04,23:00:00,2.1,8.9,97,15.9,57.7,34.43895426,59.15554588
20.03.04,22:00:00,2.3,9.9,111,16.2,55.4,45.81610826,54.71550956
20.03.04,9:00:00,2.4,10.5,102,14.6,53.1,42.96979989,60.00228409
20.03.04,14:00:00,2.1,9.3,93,19,42.9,42.88273891,56.458194
20.03.04,17:00:00,2.1,9.7,94,19.1,43.8,38.79126897,57.80323282
20.03.04,10:00:00,2.6,12.5,107,15,52.3,23.99654504,60.16892374
20.03.04,18:00:00,2.3,12.4,110,18.5,46.3,30.72182407,58.84474023
20.03.04,11:00:00,2.8,12.3,113,15.4,52.1,36.68345232,50.41865624
20.03.04,12:00:00,2.6,11.7,108,16.3,50,34.32243323,51.57067828
20.03.04,13:00:00,2.6,11.7,105,17.1,47.9,29.55068293,59.46206474
20.03.04,21:00:00,3.3,13.7,125,16.4,53.8,28.35908082,53.56315974
20.03.04,20:00:00,3.9,16.4,139,17.1,51.3,36.21439805,51.39889238
20.03.04,19:00:00,3.5,16.6,136,17.4,51.6,25.07783522,60.65116614
21.03.04,6:00:00,0.7,2.1,36,14.5,63,27.8261312,51.68274544
21.03.04,5:00:00,1.1,4,66,14.9,60.6,30.76906145,54.40017672
21.03.04,7:00:00,0.8,3.6,62,14.2,66.2,30.9615979,53.24660072
21.03.04,4:00:00,-200,5.8,87,15.4,57.8,30.70374307,50.89031315
21.03.04,14:00:00,1.3,4.6,48,21.4,40.3,20.00784026,57.59291328
21.03.04,8:00:00,1.2,4.4,91,14.5,65.3,48.17941843,59.84302735
21.03.04,3:00:00,1.6,6.5,-200,15.2,57.9,45.96762656,56.68757989
21.03.04,22:00:00,1.9,8,105,17,51.7,42.27595628,59.0736764
21.03.04,2:00:00,1.6,6.2,84,15.6,56.6,42.65081808,51.87616296
21.03.04,16:00:00,1.9,6.9,89,20.3,38,23.62511606,57.47141179
21.03.04,23:00:00,1.9,7.9,93,16.4,55.1,36.86645927,54.3097218
21.03.04,9:00:00,1.4,5.4,89,15.3,62.1,41.23024979,57.78123888
21.03.04,13:00:00,1.9,6.8,80,20.8,41.6,27.20284973,60.14656611
21.03.04,15:00:00,1.6,8.4,61,21.2,39.3,29.73716958,56.46175532
21.03.04,12:00:00,1.8,7.6,82,19.4,46.1,31.04355817,54.53380494
21.03.04,11:00:00,1.8,7.3,81,18.9,49.6,34.20338284,55.86453079
21.03.04,1:00:00,2.1,7.4,90,15.1,60.9,49.85999829,56.03117526
21.03.04,10:00:00,1.7,7.1,93,16.3,59,42.60407552,59.49655362
21.03.04,17:00:00,2.3,9,105,19.4,41.3,42.8954046,52.96502071
21.03.04,21:00:00,2.8,9.9,123,17.4,49.1,43.37724211,58.49322834
21.03.04,0:00:00,2.8,10.6,107,15.7,58.6,25.68937079,57.61349956
21.03.04,19:00:00,3.5,12.6,119,17.8,48.1,50.78382643,51.13241026
21.03.04,18:00:00,3.8,15.1,116,18.5,43.8,49.615405,51.68413967
21.03.04,20:00:00,4.3,15.1,144,17.9,46.9,41.59373361,50.33610335
22.03.04,3:00:00,0.4,0.7,-200,16.9,53.9,34.88349493,55.26993504
22.03.04,5:00:00,0.3,0.7,23,16.5,53.9,50.63356132,50.3018261
22.03.04,4:00:00,-200,0.8,27,16.1,55.9,26.75097366,53.18739638
22.03.04,2:00:00,0.6,1.7,33,16.3,57,46.75501589,51.48610556
22.03.04,6:00:00,0.6,2,46,16.4,54,37.61592438,54.00473873
22.03.04,23:00:00,1.1,4.3,80,14.5,49.4,41.84646507,59.60786085
22.03.04,10:00:00,1.8,6.9,83,17.9,38.4,32.56195745,54.9972987
22.03.04,16:00:00,2.3,11.6,101,21.3,24.2,38.76694425,51.78784185
22.03.04,11:00:00,1.6,7.3,87,18.5,36.7,22.8109431,59.6321806
22.03.04,7:00:00,1.2,5.1,76,15.7,57.6,49.88173189,57.94421723
22.03.04,15:00:00,2.1,10.7,99,21.3,26.8,34.57581113,53.42335783
22.03.04,1:00:00,1.5,5.1,76,15.8,60.5,40.51824888,55.24926677
22.03.04,14:00:00,2.2,11.2,99,21.3,26.1,41.79118437,50.1915069
22.03.04,13:00:00,2,10.4,87,21.3,28.1,36.02878273,55.67861158
22.03.04,12:00:00,1.9,9.6,90,21,29.6,24.01434129,56.54209864
22.03.04,22:00:00,2,8.4,113,13.9,52,31.82796586,60.20352151
22.03.04,17:00:00,2.6,12.4,103,20.2,28.5,37.91933107,59.30602054
22.03.04,0:00:00,1.7,6.1,86,16.1,60,32.15759352,50.26344851
22.03.04,21:00:00,3.3,14.5,124,14.5,49.7,32.94862337,50.2875727
22.03.04,9:00:00,3.7,18.4,115,17.4,42.1,35.40504874,56.02365084
22.03.04,18:00:00,3.8,18.3,129,17,43.1,42.26184582,53.2554798
22.03.04,20:00:00,4.5,21,146,15.3,47.4,46.96876443,56.49857769
22.03.04,19:00:00,4.4,21,143,15.6,47.4,48.53628182,57.07262814
22.03.04,8:00:00,3.6,17.7,116,15.8,53.7,32.97922103,51.75891745
23.03.04,5:00:00,0.3,0.6,22,8.8,80.5,20.84200017,50.22542685
23.03.04,4:00:00,-200,0.8,31,10.1,76.8,45.80545704,50.45470906
23.03.04,3:00:00,0.5,1.2,-200,11,70,41.22191584,53.30061687
23.03.04,6:00:00,0.5,1.8,47,9.6,75.4,21.12686857,54.96358554
23.03.04,2:00:00,0.7,2.5,70,13,56.8,37.09169295,51.38041718
23.03.04,1:00:00,0.8,2.7,64,14,51.3,77.24714822,120.4319621
23.03.04,0:00:00,0.9,3.8,72,13.8,51.4,78.24927491,118.3045257
23.03.04,22:00:00,1.3,5.3,96,12,54.9,82.57645898,112.4196777
23.03.04,23:00:00,1.3,5.4,86,11,61.4,82.1259733,109.7930117
23.03.04,7:00:00,1.1,4.6,88,9.8,75,80.393763,105.7067693
23.03.04,18:00:00,1.9,9.3,97,13.7,49.5,90.5395171,112.1893634
23.03.04,21:00:00,1.7,7.6,101,12.6,54.2,79.1922466,104.4164005
23.03.04,15:00:00,1.9,10.1,99,14.1,49.8,81.4517938,108.9560558
23.03.04,16:00:00,2,8.7,100,12,61.1,77.30153074,104.8309548
23.03.04,14:00:00,2.8,12.4,110,16,42.4,73.7516038,120.5151139
23.03.04,12:00:00,2.7,13.4,129,13.1,54.8,90.65931333,115.6398786
23.03.04,17:00:00,3,13.8,122,13.6,54.6,77.28257201,100.8105568
23.03.04,19:00:00,2.7,13,112,11.7,57.1,90.96173335,101.2923958
23.03.04,11:00:00,3,15.5,131,12.8,55.8,75.23096359,115.5077477
23.03.04,20:00:00,3.3,14.3,128,11.5,58.2,84.51562703,109.660188
23.03.04,13:00:00,3.5,16.9,132,13.8,53.4,85.79096667,105.361553
23.03.04,10:00:00,3.4,16.2,132,12,62.9,87.64294022,115.0172219
23.03.04,8:00:00,3,14.2,130,10,74.2,76.37258282,115.3791294
23.03.04,9:00:00,3.8,21,132,11.2,69.7,82.45471082,108.2485251
24.03.04,3:00:00,0.6,1.6,-200,10.6,61.6,81.84259885,112.5536267
24.03.04,5:00:00,0.6,1.2,54,10.9,58.6,86.72871795,100.0520623
24.03.04,4:00:00,-200,1.7,66,10.2,62.7,89.03976134,107.8981956
24.03.04,2:00:00,0.9,2.7,61,11.3,60,90.13577336,120.4128441
24.03.04,6:00:00,0.8,1.7,57,10.8,57.2,70.93519996,110.2014477
24.03.04,23:00:00,1.3,4.5,87,10.4,61.1,76.15959213,116.0386039
24.03.04,1:00:00,1.1,4.6,79,10.8,62.5,82.51461792,101.2290304
24.03.04,0:00:00,1.2,4.9,85,11.1,62.2,70.89793955,120.6738266
24.03.04,7:00:00,1.2,4.8,75,10.4,59.2,84.20476659,100.3916954
24.03.04,22:00:00,1.7,5.9,108,10.1,66.9,72.57063179,111.4170865
24.03.04,12:00:00,1.5,6.7,85,15.6,40.6,77.96681516,106.511219
24.03.04,15:00:00,-200,6.7,91,11.3,63.9,82.481358,100.6748908
24.03.04,13:00:00,1.7,8.7,96,16.9,34.6,80.54386816,101.2499949
24.03.04,11:00:00,1.7,8,88,15.1,44.3,85.12460898,106.4054928
24.03.04,14:00:00,2.2,10.8,106,16.6,35.6,76.48092035,118.229855
24.03.04,21:00:00,2.6,9.4,125,10.3,66.3,70.3397825,117.160042
24.03.04,18:00:00,2.7,12,111,10.7,68.5,78.62049332,118.90622
24.03.04,20:00:00,3.5,14.4,136,10.8,65.7,76.84353462,120.1436448
24.03.04,10:00:00,3.4,14.2,113,12.1,54.9,87.94107875,104.7241105
