,holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
3084,None,256.15,0.0,0.0,75,Clouds,broken clouds,1/21/2013 10:00,3339,medium
27278,None,279.532,0.0,0.0,92,Rain,moderate rain,10/12/2016 7:00,5871,very high
47441,None,292.18,0.28,0.0,90,Rain,moderate rain,9/5/2018 4:00,882,very low
14961,None,290.51,0.0,0.0,75,Clouds,broken clouds,6/7/2014 3:00,513,very low
48181,None,280.08,0.0,0.0,90,Clouds,overcast clouds,9/30/2018 3:00,364,very low
29781,None,253.21,0.0,0.0,90,Snow,light snow,1/5/2017 4:00,782,very low
27091,None,287.87,0.3,0.0,64,Rain,light rain,10/4/2016 10:00,4089,medium
16022,None,299.5,0.0,0.0,1,Clear,sky is clear,6/26/2015 15:00,5833,very high
31267,None,269.62,0.0,0.0,90,Snow,light snow,2/24/2017 11:00,4363,medium
14978,None,285.67,1.76,0.0,92,Mist,mist,6/7/2014 10:00,4260,medium
13726,None,273.23,0.25,0.0,90,Rain,light rain,4/17/2014 11:00,4931,high
39131,None,279.02,0.0,0.0,1,Clear,sky is clear,11/20/2017 23:00,1174,very low
4807,None,280.23,0.0,0.0,1,Clear,sky is clear,4/5/2013 19:00,3604,medium
230,None,281.84,0.0,0.0,75,Clouds,broken clouds,10/12/2012 14:00,5758,high
14680,None,293.11,12.45,0.0,90,Rain,heavy intensity rain,5/27/2014 11:00,4549,high
39424,None,271.48,0.0,0.0,1,Clear,sky is clear,12/3/2017 2:00,577,very low
12926,None,268.38,0.0,0.0,20,Clouds,few clouds,3/15/2014 2:00,519,very low
36217,None,293.79,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,8/13/2017 18:00,4077,medium
18108,None,290.54,0.0,0.0,90,Rain,moderate rain,9/9/2015 13:00,4945,high
16402,None,291.58,0.0,0.0,1,Clear,sky is clear,7/8/2015 21:00,3133,medium
22419,None,278.79,0.0,0.0,40,Clouds,scattered clouds,4/12/2016 23:00,1946,low
23170,None,287.39,0.25,0.0,90,Thunderstorm,proximity thunderstorm,5/9/2016 20:00,2650,low
15355,None,296.39,0.0,0.0,8,Rain,light rain,7/9/2014 13:00,5286,high
16926,None,294.58,13.32,0.0,90,Rain,heavy intensity rain,7/28/2015 8:00,5045,high
35374,None,291.82,0.0,0.0,1,Clear,sky is clear,7/16/2017 5:00,586,very low
16799,None,300.91,0.0,0.0,1,Clear,sky is clear,7/23/2015 18:00,4562,high
8285,None,291.61,0.0,0.0,0,Clear,Sky is Clear,8/8/2013 21:00,3042,medium
14206,None,289.44,0.51,0.0,90,Thunderstorm,proximity thunderstorm,5/10/2014 20:00,2890,low
9524,None,284.23,0.25,0.0,92,Rain,moderate rain,10/17/2013 17:00,6279,very high
36232,None,290.44,0.0,0.0,90,Thunderstorm,thunderstorm with heavy rain,8/14/2017 1:00,392,very low
2012,None,265.41,0.0,0.0,75,Mist,mist,12/15/2012 1:00,699,very low
31644,None,263.22,0.0,0.0,1,Clear,sky is clear,3/10/2017 21:00,2929,medium
22737,None,285.88,0.0,0.0,75,Rain,light rain,4/24/2016 13:00,4779,high
4840,None,274.27,0.0,0.0,90,Mist,mist,4/6/2013 20:00,2712,low
39329,None,270.93,0.0,0.0,1,Clear,sky is clear,11/29/2017 3:00,376,very low
22963,None,289.39,0.0,0.0,75,Clouds,broken clouds,5/1/2016 17:00,5102,high
5274,None,273.36,0.0,0.0,90,Mist,mist,4/19/2013 6:00,4931,high
18568,None,292.96,0.0,0.0,90,Mist,mist,9/24/2015 16:00,6454,very high
41501,None,275.43,0.0,0.0,1,Haze,haze,2/14/2018 13:00,5027,high
45906,None,301.01,0.0,0.0,40,Clouds,scattered clouds,7/16/2018 19:00,3277,medium
42330,None,271.07,0.0,0.0,1,Clear,sky is clear,3/14/2018 10:00,4511,high
47743,None,295.83,0.0,0.0,75,Clouds,broken clouds,9/17/2018 3:00,344,very low
21617,None,274.95,0.0,0.0,75,Mist,mist,3/4/2016 21:00,3036,medium
44789,None,295.07,0.0,0.0,90,Clouds,overcast clouds,6/8/2018 14:00,5936,very high
40195,None,256.61,0.0,0.0,90,Haze,haze,12/29/2017 15:00,4767,high
25132,None,295.19,0.0,0.0,1,Fog,fog,7/22/2016 2:00,428,very low
1846,None,272.01,0.0,0.0,90,Mist,mist,12/10/2012 3:00,339,very low
38648,None,275.88,0.0,0.0,90,Mist,mist,11/4/2017 11:00,4563,high
16169,None,292.17,0.0,0.0,1,Clear,sky is clear,7/1/2015 13:00,4462,high
2791,None,273.67,0.0,0.0,90,Clouds,overcast clouds,1/9/2013 16:00,6394,very high
35829,None,302.15,0.0,0.0,75,Clouds,broken clouds,7/31/2017 16:00,6304,very high
15170,None,294.37,0.0,0.0,76,Rain,heavy intensity rain,6/29/2014 0:00,1471,low
20456,None,272.49,0.0,0.0,75,Mist,mist,1/7/2016 1:00,323,very low
45433,None,302.58,0.0,0.0,1,Clear,sky is clear,6/30/2018 1:00,869,very low
8456,None,289.55,0.0,0.0,90,Clouds,overcast clouds,8/16/2013 23:00,1887,low
28572,None,280.15,0.0,0.0,90,Rain,moderate rain,11/28/2016 2:00,240,very low
8766,None,283.36,0.0,0.0,0,Mist,mist,9/3/2013 1:00,333,very low
10080,None,265.15,0.0,0.0,1,Clear,sky is clear,11/23/2013 13:00,5020,high
39676,None,271.15,0.0,0.0,90,Snow,light snow,12/11/2017 6:00,5061,high
30887,None,256.49,0.0,0.0,1,Clear,sky is clear,2/9/2017 6:00,5706,high
19963,None,277.01,0.0,0.0,90,Mist,mist,12/13/2015 4:00,289,very low
26324,None,292.39,0.25,0.0,1,Thunderstorm,proximity thunderstorm,9/5/2016 2:00,369,very low
41472,None,267.53,0.0,0.0,40,Clouds,scattered clouds,2/13/2018 12:00,4825,high
34022,None,289.37,0.0,0.0,75,Clouds,broken clouds,5/26/2017 2:00,367,very low
16214,None,294.18,0.0,0.0,1,Clear,sky is clear,7/3/2015 10:00,3721,medium
34242,None,293.4,0.0,0.0,1,Clear,sky is clear,6/4/2017 0:00,2759,low
37551,None,287.62,0.0,0.0,1,Clear,sky is clear,9/28/2017 23:00,1494,low
29354,None,274.39,0.0,0.0,5,Clear,sky is clear,12/22/2016 13:00,5313,high
38164,None,294.55,0.0,0.0,1,Clear,sky is clear,10/19/2017 18:00,5107,high
32419,None,274.37,0.0,0.0,40,Clouds,scattered clouds,4/6/2017 7:00,6723,very high
9624,None,276.82,0.0,0.0,90,Clouds,overcast clouds,10/22/2013 12:00,5126,high
41469,None,263.0,0.0,0.0,90,Clouds,overcast clouds,2/13/2018 9:00,5060,high
13708,None,273.75,1.08,0.0,90,Rain,moderate rain,4/16/2014 17:00,5857,very high
39192,None,276.01,0.0,0.0,5,Clear,sky is clear,11/23/2017 12:00,3169,medium
25208,None,300.04,0.0,0.0,75,Clouds,broken clouds,7/24/2016 13:00,100,very low
26292,None,290.8,0.0,0.0,1,Clear,sky is clear,9/3/2016 23:00,1777,low
35913,None,286.43,0.0,0.0,90,Drizzle,light intensity drizzle,8/3/2017 14:00,5447,high
4834,None,274.52,0.0,0.0,90,Snow,heavy snow,4/6/2013 18:00,4160,medium
42785,None,272.72,0.0,0.0,90,Mist,mist,3/31/2018 5:00,588,very low
29136,None,255.68,0.0,0.0,1,Clear,sky is clear,12/14/2016 19:00,3197,medium
40948,None,269.22,0.0,0.0,90,Mist,mist,1/25/2018 5:00,2932,medium
38709,None,269.79,0.0,0.0,1,Clear,sky is clear,11/6/2017 0:00,469,very low
36733,None,286.65,0.0,0.0,40,Mist,mist,8/29/2017 8:00,6259,very high
21923,None,274.82,0.0,0.0,90,Clouds,overcast clouds,3/19/2016 13:00,4806,high
35440,None,298.68,0.0,0.0,90,Rain,moderate rain,7/18/2017 13:00,4873,high
33350,None,279.21,0.0,0.0,1,Mist,mist,5/4/2017 7:00,6479,very high
36809,None,284.72,0.0,0.0,75,Mist,mist,9/1/2017 8:00,5950,very high
11841,None,254.96,0.0,0.0,40,Clouds,scattered clouds,1/28/2014 18:00,3873,medium
20489,None,273.35,0.0,0.06,75,Rain,light rain,1/8/2016 0:00,628,very low
644,None,278.93,0.0,0.0,90,Mist,mist,10/26/2012 4:00,705,very low
30195,None,273.65,0.0,0.0,5,Mist,mist,1/18/2017 21:00,2347,low
20502,None,272.98,0.0,0.0,90,Snow,light snow,1/8/2016 9:00,4749,high
28269,None,269.15,0.0,0.0,1,Clear,sky is clear,11/20/2016 21:00,1675,low
36592,None,292.43,0.0,0.0,90,Clouds,overcast clouds,8/25/2017 13:00,5283,high
31696,None,265.75,0.0,0.0,90,Mist,mist,3/12/2017 20:00,1817,low
16936,None,300.99,0.0,0.0,90,Clouds,overcast clouds,7/28/2015 16:00,6622,very high
31295,None,271.15,0.0,0.0,1,Clear,sky is clear,2/25/2017 13:00,5213,high
8244,None,292.9,0.0,0.0,76,Clouds,broken clouds,8/6/2013 23:00,1778,low
6020,None,292.22,0.0,0.0,1,Clear,sky is clear,5/14/2013 16:00,6653,very high
19362,None,276.48,0.0,0.0,5,Clear,sky is clear,11/7/2015 10:00,4024,medium
41176,None,258.29,0.0,0.0,75,Clouds,broken clouds,2/2/2018 13:00,5378,high
44709,None,299.07,0.0,0.0,1,Clear,sky is clear,6/5/2018 18:00,4582,high
742,None,273.26,0.0,0.0,75,Clouds,broken clouds,10/29/2012 9:00,5246,high
1640,None,280.55,0.0,0.0,90,Mist,mist,12/2/2012 14:00,3696,medium
6948,None,290.14,5.74,0.0,92,Mist,mist,6/13/2013 10:00,4634,high
34523,None,291.35,0.0,0.0,20,Clouds,few clouds,6/14/2017 4:00,854,very low
35743,None,291.15,0.0,0.0,1,Mist,mist,7/28/2017 3:00,458,very low
6340,None,284.23,0.0,0.0,90,Mist,mist,5/23/2013 16:00,6305,very high
15932,None,287.92,0.0,0.0,1,Fog,fog,8/6/2014 4:00,979,very low
46689,None,299.8,0.0,0.0,5,Clear,sky is clear,8/13/2018 21:00,2615,low
41883,None,274.22,0.0,0.0,1,Clear,sky is clear,2/26/2018 21:00,2197,low
24118,None,300.83,0.0,0.0,0,Clear,Sky is Clear,6/11/2016 20:00,3351,medium
14989,None,287.55,0.68,0.0,90,Rain,light rain,6/7/2014 16:00,4993,high
1166,None,269.06,0.0,0.0,90,Clouds,overcast clouds,11/13/2012 17:00,6212,very high
28357,None,273.95,0.0,0.0,90,Drizzle,light intensity drizzle,11/23/2016 3:00,378,very low
33639,None,288.58,0.0,0.0,75,Rain,heavy intensity rain,5/15/2017 15:00,5388,high
37387,None,296.43,0.0,0.0,75,Clouds,broken clouds,9/23/2017 9:00,3902,medium
3190,None,256.34,0.0,0.0,75,Clouds,broken clouds,1/27/2013 8:00,1839,low
6959,None,294.18,0.42,0.0,76,Rain,light rain,6/13/2013 16:00,6517,very high
24034,None,286.21,0.0,0.0,0,Clear,Sky is Clear,6/8/2016 8:00,5841,very high
25117,None,304.18,0.0,0.0,75,Clouds,broken clouds,7/21/2016 14:00,4829,high
20242,None,264.68,0.0,0.0,1,Clear,sky is clear,12/27/2015 11:00,3299,medium
31343,None,278.58,0.0,0.0,75,Clouds,broken clouds,2/27/2017 13:00,4670,high
38467,None,278.42,0.0,0.0,90,Clouds,overcast clouds,10/29/2017 19:00,3409,medium
19117,None,288.79,0.0,0.0,40,Clouds,scattered clouds,10/21/2015 16:00,6378,very high
35923,None,286.35,0.0,0.0,90,Mist,mist,8/3/2017 17:00,6060,very high
11576,None,276.793,0.0,0.0,64,Clouds,broken clouds,1/18/2014 12:00,3870,medium
24632,None,289.3,0.0,0.0,1,Clear,sky is clear,7/3/2016 2:00,759,very low
1210,None,283.26,0.0,0.0,40,Clouds,scattered clouds,11/15/2012 13:00,5114,high
15673,None,302.1,0.0,0.0,90,Clouds,overcast clouds,7/21/2014 20:00,2730,low
13464,None,285.42,0.0,0.0,1,Clear,sky is clear,4/6/2014 13:00,4522,high
44694,None,291.89,0.0,0.0,1,Clear,sky is clear,6/5/2018 3:00,355,very low
37381,None,298.65,0.0,0.0,1,Clear,sky is clear,9/23/2017 3:00,440,very low
41734,None,269.86,0.0,0.0,90,Snow,light snow,2/22/2018 22:00,1905,low
30563,None,270.75,0.0,0.0,90,Clouds,overcast clouds,1/28/2017 15:00,4764,high
35807,None,301.51,0.0,0.0,75,Clouds,broken clouds,7/30/2017 18:00,4771,high
22715,None,287.3,0.0,0.0,1,Rain,light rain,4/24/2016 5:00,629,very low
21737,None,286.82,0.0,0.0,1,Clear,sky is clear,3/12/2016 20:00,3373,medium
10812,None,264.14,0.38,0.0,64,Snow,light snow,12/20/2013 1:00,424,very low
5202,None,273.76,0.0,0.0,90,Clouds,overcast clouds,4/17/2013 7:00,7039,very high
35585,None,302.23,0.0,0.0,1,Clear,sky is clear,7/22/2017 20:00,3546,medium
44355,None,294.95,0.0,0.0,75,Mist,mist,5/24/2018 21:00,2626,low
45581,None,295.44,0.0,0.0,1,Mist,mist,7/5/2018 3:00,338,very low
26688,None,292.06,0.0,0.0,40,Clouds,scattered clouds,9/17/2016 13:00,4408,high
47537,None,296.04,0.0,0.0,5,Clear,sky is clear,9/8/2018 16:00,4848,high
45269,None,291.08,0.0,0.0,1,Mist,mist,6/24/2018 4:00,373,very low
35589,None,293.8,0.0,0.0,1,Clear,sky is clear,7/23/2017 0:00,2539,low
34458,None,291.41,0.0,0.0,90,Mist,mist,6/12/2017 3:00,320,very low
20773,None,267.55,0.0,0.0,40,Snow,light snow,1/22/2016 14:00,5529,high
47577,None,285.08,0.0,0.0,20,Clouds,few clouds,9/10/2018 8:00,6009,very high
16695,None,296.63,0.0,0.0,1,Clear,sky is clear,7/19/2015 10:00,3467,medium
15428,None,294.99,0.0,0.0,80,Fog,fog,7/12/2014 2:00,650,very low
29418,None,273.42,0.0,0.0,90,Mist,mist,12/24/2016 9:00,2475,low
32655,None,281.65,0.0,0.0,90,Clouds,overcast clouds,4/14/2017 5:00,2425,low
48172,None,280.68,0.0,0.0,90,Clouds,overcast clouds,9/29/2018 19:00,3818,medium
5044,None,274.43,0.0,0.0,90,Haze,haze,4/12/2013 14:00,5649,high
6906,None,286.91,0.0,0.0,12,Fog,fog,6/12/2013 4:00,789,very low
528,None,288.54,0.0,0.0,99,Thunderstorm,proximity thunderstorm,10/23/2012 15:00,5618,high
37292,None,294.86,0.0,0.0,75,Clouds,broken clouds,9/19/2017 12:00,4867,high
4461,None,270.15,0.0,0.0,1,Clear,sky is clear,3/22/2013 18:00,4762,high
7117,None,295.04,0.0,0.0,92,Clouds,overcast clouds,6/21/2013 1:00,516,very low
17061,None,291.7,0.0,0.0,1,Clear,sky is clear,8/2/2015 23:00,1156,very low
22345,None,270.6,0.0,0.0,1,Clear,sky is clear,4/8/2016 22:00,2552,low
37168,None,295.92,0.0,0.0,1,Clear,sky is clear,9/15/2017 2:00,333,very low
30503,None,271.65,0.0,0.0,90,Snow,light snow,1/26/2017 3:00,370,very low
30086,None,264.95,0.0,0.0,1,Haze,haze,1/16/2017 3:00,601,very low
2289,None,261.72,0.0,0.0,1,Clear,sky is clear,12/22/2012 0:00,1227,very low
4075,None,268.85,0.0,0.0,90,Snow,heavy snow,3/5/2013 7:00,3865,medium
27738,None,286.399,0.0,0.0,8,Clear,sky is clear,11/1/2016 2:00,252,very low
27442,None,281.54,0.0,0.0,0,Clear,Sky is Clear,10/19/2016 10:00,4187,medium
28639,None,275.88,0.0,0.0,90,Clouds,overcast clouds,11/29/2016 13:00,4418,high
18636,None,293.96,0.0,0.0,75,Clouds,broken clouds,9/28/2015 0:00,546,very low
16882,None,302.6,0.0,0.0,40,Clouds,scattered clouds,7/26/2015 15:00,3704,medium
5592,None,285.29,0.0,0.0,1,Clear,sky is clear,4/29/2013 4:00,749,very low
22387,None,274.48,0.0,0.0,40,Clouds,scattered clouds,4/11/2016 1:00,342,very low
30095,None,261.36,0.0,0.0,1,Mist,mist,1/16/2017 9:00,3760,medium
39026,None,275.48,0.0,0.0,90,Rain,light rain,11/17/2017 10:00,4706,high
12057,None,256.19,0.0,0.0,75,Clouds,broken clouds,2/6/2014 18:00,4357,medium
47251,None,294.0,0.25,0.0,75,Thunderstorm,proximity thunderstorm,8/31/2018 8:00,5687,high
16003,None,299.9,0.0,0.0,40,Clouds,scattered clouds,6/25/2015 15:00,6122,very high
6819,None,290.09,0.0,0.0,24,Clouds,few clouds,6/9/2013 9:00,2326,low
25954,None,297.61,12.7,0.0,90,Rain,heavy intensity rain,8/23/2016 19:00,3389,medium
8056,None,292.1,0.0,0.0,80,Drizzle,light intensity drizzle,7/30/2013 23:00,1204,very low
6723,None,285.49,0.0,0.0,88,Mist,mist,6/6/2013 7:00,6604,very high
22920,None,282.32,0.0,0.0,1,Clear,sky is clear,4/29/2016 22:00,808,very low
22197,None,272.15,0.0,0.0,75,Clouds,broken clouds,4/2/2016 13:00,5023,high
40033,None,264.44,0.0,0.0,40,Clouds,scattered clouds,12/24/2017 3:00,374,very low
35454,None,291.08,0.0,0.0,1,Mist,mist,7/19/2017 0:00,785,very low
5370,None,277.06,0.0,0.0,1,Clear,sky is clear,4/21/2013 15:00,4542,high
7387,None,297.11,0.0,0.0,1,Clear,sky is clear,7/2/2013 20:00,3074,medium
34201,None,286.5,0.0,0.0,20,Clouds,few clouds,6/2/2017 7:00,6385,very high
23173,None,286.66,0.25,0.0,90,Drizzle,drizzle,5/9/2016 21:00,2543,low
7067,None,293.47,0.0,0.0,8,Clear,sky is clear,6/17/2013 21:00,2564,low
9462,None,281.72,0.0,0.0,88,Rain,light rain,10/14/2013 11:00,4507,high
16438,None,294.42,0.0,0.0,1,Clear,sky is clear,7/10/2015 9:00,4598,high
47838,None,288.37,0.25,0.0,90,Drizzle,light intensity drizzle,9/19/2018 7:00,6510,very high
13056,None,276.88,0.48,0.0,40,Rain,light rain,3/20/2014 12:00,4956,high
41055,None,265.35,0.0,0.0,90,Snow,light snow,1/28/2018 18:00,3849,medium
21082,None,269.65,0.0,0.0,75,Mist,mist,2/6/2016 0:00,1254,very low
8975,None,277.14,0.0,0.0,1,Clear,sky is clear,9/16/2013 5:00,2863,low
43003,None,262.15,0.0,0.0,1,Snow,light snow,4/7/2018 6:00,1221,very low
7980,None,290.65,0.0,0.0,92,Rain,light rain,7/27/2013 18:00,3948,medium
39758,None,264.45,0.0,0.0,1,Snow,light snow,12/14/2017 7:00,6252,very high
36357,None,292.61,0.0,0.0,90,Rain,light rain,8/17/2017 9:00,5086,high
10155,None,262.63,0.0,0.0,1,Clear,sky is clear,11/26/2013 21:00,2565,low
44102,None,287.0,0.0,0.0,1,Mist,mist,5/15/2018 2:00,248,very low
5138,None,272.58,0.0,0.0,90,Clouds,overcast clouds,4/15/2013 4:00,735,very low
47363,None,295.27,0.44,0.0,90,Rain,light rain,9/3/2018 19:00,3006,medium
6708,None,285.65,0.25,0.0,92,Rain,light rain,6/6/2013 0:00,655,very low
30190,None,276.94,0.0,0.0,1,Clear,sky is clear,1/18/2017 16:00,6326,very high
21313,None,272.28,0.0,0.0,90,Haze,haze,2/15/2016 19:00,2999,medium
42139,None,263.37,0.0,0.0,40,Fog,fog,3/7/2018 4:00,921,very low
35523,None,300.58,0.0,0.0,1,Clear,sky is clear,7/20/2017 14:00,5175,high
9845,None,275.15,0.0,0.0,1,Clear,sky is clear,11/14/2013 6:00,5933,very high
12338,None,274.29,0.0,0.0,75,Clouds,broken clouds,2/18/2014 11:00,4620,high
35447,None,298.88,0.0,0.0,40,Clouds,scattered clouds,7/18/2017 18:00,4548,high
24546,None,297.17,0.0,0.0,75,Clouds,broken clouds,6/29/2016 13:00,4622,high
37680,None,290.53,0.0,0.0,90,Rain,heavy intensity rain,10/3/2017 1:00,332,very low
6060,None,287.79,0.0,0.0,75,Clouds,broken clouds,5/16/2013 8:00,6404,very high
31757,None,264.75,0.0,0.0,1,Clear,sky is clear,3/15/2017 1:00,468,very low
31426,None,265.49,0.0,0.0,1,Clear,sky is clear,3/2/2017 5:00,2751,low
30290,None,275.09,0.0,0.0,90,Mist,mist,1/20/2017 18:00,4718,high
46739,None,295.22,0.0,0.0,1,Clear,sky is clear,8/15/2018 23:00,1051,very low
35961,None,284.72,0.0,0.0,1,Mist,mist,8/5/2017 6:00,1431,very low
1005,None,276.38,0.0,0.0,90,Clouds,overcast clouds,11/8/2012 7:00,6834,very high
31310,None,269.34,0.0,0.0,90,Snow,light snow,2/26/2017 4:00,643,very low
17562,None,289.48,0.25,0.0,90,Rain,moderate rain,8/19/2015 18:00,4712,high
33935,None,290.95,0.0,0.0,40,Clouds,scattered clouds,5/22/2017 17:00,5770,high
47170,None,290.49,0.25,0.0,90,Rain,light rain,8/28/2018 14:00,5273,high
47127,None,300.84,1.78,0.0,1,Rain,moderate rain,8/27/2018 16:00,6535,very high
42517,None,269.29,0.0,0.0,90,Mist,mist,3/21/2018 9:00,5356,high
31722,None,269.15,0.0,0.0,40,Clouds,scattered clouds,3/13/2017 14:00,4775,high
13853,None,287.03,0.0,0.0,40,Clouds,scattered clouds,4/22/2014 18:00,4584,high
13918,None,282.49,0.25,0.0,20,Rain,light rain,4/25/2014 11:00,5165,high
34400,None,302.43,0.0,0.0,5,Clear,sky is clear,6/10/2017 11:00,4307,medium
16599,None,294.03,0.51,0.0,90,Haze,haze,7/16/2015 13:00,5129,high
17281,None,291.4,0.0,0.0,1,Clear,sky is clear,8/11/2015 0:00,604,very low
24147,None,292.34,0.25,0.0,68,Rain,light rain,6/13/2016 1:00,420,very low
31708,None,265.22,0.0,0.0,90,Snow,light snow,3/13/2017 3:00,349,very low
31383,None,273.71,0.0,0.0,90,Mist,mist,2/28/2017 21:00,2890,low
2728,None,265.04,0.0,0.0,75,Haze,haze,1/6/2013 22:00,1384,very low
24887,None,294.55,0.0,0.0,90,Mist,mist,7/12/2016 5:00,2790,low
41981,None,269.07,0.0,0.0,75,Mist,mist,3/2/2018 11:00,5171,high
10219,None,272.08,0.0,0.0,64,Clouds,broken clouds,11/29/2013 16:00,4513,high
25767,None,291.96,0.0,0.0,32,Clouds,scattered clouds,8/16/2016 5:00,2908,low
40749,None,269.08,0.0,0.0,1,Clear,sky is clear,1/18/2018 0:00,756,very low
37761,None,286.58,0.0,0.0,90,Drizzle,drizzle,10/5/2017 21:00,2700,low
7737,None,301.26,0.0,0.0,44,Clouds,scattered clouds,7/17/2013 10:00,4967,high
35216,None,294.42,0.0,0.0,75,Rain,light rain,7/10/2017 0:00,649,very low
44507,None,292.92,0.0,0.0,90,Mist,mist,5/30/2018 0:00,527,very low
7596,None,294.04,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 10:00,4827,high
2309,None,261.31,0.0,0.0,1,Clear,sky is clear,12/22/2012 20:00,2694,low
710,None,273.54,0.0,0.0,90,Clouds,overcast clouds,10/28/2012 1:00,795,very low
16254,None,300.28,0.0,0.0,40,Haze,haze,7/4/2015 13:00,3267,medium
34262,None,301.62,0.0,0.0,1,Clear,sky is clear,6/4/2017 20:00,3420,medium
46388,None,293.21,0.0,0.0,75,Rain,light rain,8/3/2018 11:00,4820,high
13156,None,271.93,0.25,0.0,75,Rain,light rain,3/24/2014 16:00,6194,very high
47153,None,289.3,1.1,0.0,75,Mist,mist,8/28/2018 7:00,6147,very high
7313,None,291.63,0.0,0.0,92,Rain,light rain,6/30/2013 0:00,1556,low
40127,None,256.32,0.0,0.0,75,Clouds,broken clouds,12/27/2017 19:00,2941,medium
47730,None,304.41,0.0,0.0,40,Clouds,scattered clouds,9/16/2018 14:00,3829,medium
38892,None,277.68,0.0,0.0,90,Clouds,overcast clouds,11/13/2017 12:00,4829,high
24339,None,288.42,0.0,0.0,0,Clear,Sky is Clear,6/21/2016 1:00,416,very low
385,None,289.59,0.0,0.0,90,Clouds,overcast clouds,10/18/2012 11:00,5107,high
38504,None,273.15,0.0,0.0,90,Snow,light snow,10/30/2017 22:00,1514,low
46504,None,290.55,0.0,0.0,1,Haze,haze,8/7/2018 6:00,5814,high
5326,None,272.58,0.0,0.0,90,Mist,mist,4/20/2013 2:00,571,very low
19741,None,272.44,0.0,0.0,90,Fog,fog,11/30/2015 6:00,3494,medium
25519,None,292.15,0.0,0.0,0,Clear,Sky is Clear,8/5/2016 21:00,3021,medium
31801,None,275.86,0.0,0.0,90,Rain,moderate rain,3/16/2017 19:00,3595,medium
47672,None,294.44,0.0,0.0,40,Clouds,scattered clouds,9/14/2018 5:00,2899,low
26094,None,288.67,0.0,0.0,1,Fog,fog,8/28/2016 1:00,1050,very low
31455,None,265.55,0.0,0.0,75,Clouds,broken clouds,3/3/2017 10:00,4837,high
25896,None,289.07,0.0,0.0,1,Clear,sky is clear,8/21/2016 9:00,2636,low
25297,None,295.35,0.0,0.0,75,Clouds,broken clouds,7/27/2016 19:00,2991,medium
7569,None,296.26,16.0,0.0,32,Thunderstorm,proximity thunderstorm,7/10/2013 8:00,6298,very high
2372,None,264.03,0.0,0.0,40,Clouds,scattered clouds,12/25/2012 11:00,2314,low
41859,None,268.79,0.0,0.0,5,Clear,sky is clear,2/25/2018 21:00,2507,low
24448,None,303.69,0.0,0.0,75,Clouds,broken clouds,6/25/2016 12:00,4544,high
1123,Veterans Day,288.12,0.0,0.0,87,Clear,sky is clear,11/12/2012 0:00,1000,very low
28019,None,282.15,0.0,0.0,1,Clear,sky is clear,11/12/2016 12:00,4513,high
