,holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
42785,7,272.72,0.0,0.0,90,5,588
40948,7,269.22,0.0,0.0,90,5,2932
36733,7,286.65,0.0,0.0,40,8,6259
21923,7,274.82,0.0,0.0,90,13,4806
35440,7,298.68,0.0,0.0,90,13,4873
33350,7,279.21,0.0,0.0,1,7,6479
36809,7,284.72,0.0,0.0,75,8,5950
644,7,278.93,0.0,0.0,90,4,705
20502,7,272.98,0.0,0.0,90,9,4749
36592,7,292.43,0.0,0.0,90,13,5283
16936,7,300.99,0.0,0.0,90,16,6622
31295,7,271.15,0.0,0.0,1,13,5213
6020,7,292.22,0.0,0.0,1,16,6653
19362,7,276.48,0.0,0.0,5,10,4024
41176,7,258.29,0.0,0.0,75,13,5378
742,7,273.26,0.0,0.0,75,9,5246
1640,7,280.55,0.0,0.0,90,14,3696
6948,7,290.14,5.74,0.0,92,10,4634
34523,7,291.35,0.0,0.0,20,4,854
6340,7,284.23,0.0,0.0,90,16,6305
15932,7,287.92,0.0,0.0,1,4,979
14989,7,287.55,0.68,0.0,90,16,4993
33639,7,288.58,0.0,0.0,75,15,5388
37387,7,296.43,0.0,0.0,75,9,3902
3190,7,256.34,0.0,0.0,75,8,1839
6959,7,294.18,0.42,0.0,76,16,6517
24034,7,286.21,0.0,0.0,0,8,5841
25117,7,304.18,0.0,0.0,75,14,4829
20242,7,264.68,0.0,0.0,1,11,3299
31343,7,278.58,0.0,0.0,75,13,4670
19117,7,288.79,0.0,0.0,40,16,6378
11576,7,276.793,0.0,0.0,64,12,3870
1210,7,283.26,0.0,0.0,40,13,5114
13464,7,285.42,0.0,0.0,1,13,4522
30563,7,270.75,0.0,0.0,90,15,4764
22715,7,287.3,0.0,0.0,1,5,629
5202,7,273.76,0.0,0.0,90,7,7039
26688,7,292.06,0.0,0.0,40,13,4408
47537,7,296.04,0.0,0.0,5,16,4848
45269,7,291.08,0.0,0.0,1,4,373
20773,7,267.55,0.0,0.0,40,14,5529
47577,7,285.08,0.0,0.0,20,8,6009
16695,7,296.63,0.0,0.0,1,10,3467
29418,7,273.42,0.0,0.0,90,9,2475
32655,7,281.65,0.0,0.0,90,5,2425
5044,7,274.43,0.0,0.0,90,14,5649
6906,7,286.91,0.0,0.0,12,4,789
528,7,288.54,0.0,0.0,99,15,5618
37292,7,294.86,0.0,0.0,75,12,4867
4075,7,268.85,0.0,0.0,90,7,3865
27442,7,281.54,0.0,0.0,0,10,4187
28639,7,275.88,0.0,0.0,90,13,4418
16882,7,302.6,0.0,0.0,40,15,3704
5592,7,285.29,0.0,0.0,1,4,749
30095,7,261.36,0.0,0.0,1,9,3760
39026,7,275.48,0.0,0.0,90,10,4706
47251,7,294.0,0.25,0.0,75,8,5687
16003,7,299.9,0.0,0.0,40,15,6122
6819,7,290.09,0.0,0.0,24,9,2326
6723,7,285.49,0.0,0.0,88,7,6604
22197,7,272.15,0.0,0.0,75,13,5023
5370,7,277.06,0.0,0.0,1,15,4542
34201,7,286.5,0.0,0.0,20,7,6385
9462,7,281.72,0.0,0.0,88,11,4507
16438,7,294.42,0.0,0.0,1,9,4598
47838,7,288.37,0.25,0.0,90,7,6510
13056,7,276.88,0.48,0.0,40,12,4956
8975,7,277.14,0.0,0.0,1,5,2863
43003,7,262.15,0.0,0.0,1,6,1221
39758,7,264.45,0.0,0.0,1,7,6252
36357,7,292.61,0.0,0.0,90,9,5086
5138,7,272.58,0.0,0.0,90,4,735
30190,7,276.94,0.0,0.0,1,16,6326
42139,7,263.37,0.0,0.0,40,4,921
35523,7,300.58,0.0,0.0,1,14,5175
9845,7,275.15,0.0,0.0,1,6,5933
12338,7,274.29,0.0,0.0,75,11,4620
24546,7,297.17,0.0,0.0,75,13,4622
6060,7,287.79,0.0,0.0,75,8,6404
31426,7,265.49,0.0,0.0,1,5,2751
35961,7,284.72,0.0,0.0,1,6,1431
1005,7,276.38,0.0,0.0,90,7,6834
31310,7,269.34,0.0,0.0,90,4,643
47170,7,290.49,0.25,0.0,90,14,5273
47127,7,300.84,1.78,0.0,1,16,6535
42517,7,269.29,0.0,0.0,90,9,5356
31722,7,269.15,0.0,0.0,40,14,4775
13918,7,282.49,0.25,0.0,20,11,5165
34400,7,302.43,0.0,0.0,5,11,4307
16599,7,294.03,0.51,0.0,90,13,5129
24887,7,294.55,0.0,0.0,90,5,2790
41981,7,269.07,0.0,0.0,75,11,5171
10219,7,272.08,0.0,0.0,64,16,4513
25767,7,291.96,0.0,0.0,32,5,2908
7737,7,301.26,0.0,0.0,44,10,4967
7596,7,294.04,0.0,0.0,0,10,4827
16254,7,300.28,0.0,0.0,40,13,3267
46388,7,293.21,0.0,0.0,75,11,4820
13156,7,271.93,0.25,0.0,75,16,6194
47153,7,289.3,1.1,0.0,75,7,6147
47730,7,304.41,0.0,0.0,40,14,3829
38892,7,277.68,0.0,0.0,90,12,4829
385,7,289.59,0.0,0.0,90,11,5107
46504,7,290.55,0.0,0.0,1,6,5814
19741,7,272.44,0.0,0.0,90,6,3494
47672,7,294.44,0.0,0.0,40,5,2899
31455,7,265.55,0.0,0.0,75,10,4837
25896,7,289.07,0.0,0.0,1,9,2636
7569,7,296.26,16.0,0.0,32,8,6298
2372,7,264.03,0.0,0.0,40,11,2314
24448,7,303.69,0.0,0.0,75,12,4544
28019,7,282.15,0.0,0.0,1,12,4513
13775,7,285.58,0.0,0.0,90,12,4366
22300,7,274.93,0.0,0.0,90,9,5303
25139,7,293.13,0.0,0.0,1,6,4864
38784,7,267.79,0.0,0.0,75,5,2966
45840,7,290.98,0.0,0.0,1,6,1422
11884,7,265.11,0.76,0.0,75,13,3455
21280,7,262.57,0.0,0.0,90,9,3628
21842,7,277.66,0.0,0.0,90,9,5422
24401,7,297.5,0.0,0.0,48,15,5795
37264,7,286.01,0.0,0.0,90,15,5430
35552,7,296.72,0.0,0.0,90,13,5096
46421,7,294.81,0.0,0.0,90,9,3477
44517,7,291.77,0.0,0.0,1,6,6046
42786,7,272.72,0.0,0.0,90,5,588
4110,7,268.62,0.0,0.0,90,7,6157
33978,7,282.08,0.0,0.0,90,8,6042
20309,7,267.8,0.0,0.0,90,10,4192
29009,7,264.22,0.0,0.0,90,5,435
11116,7,249.66,0.0,0.0,90,7,4232
45921,7,294.69,0.0,0.0,1,10,4346
23163,7,286.79,1.52,0.0,90,16,6334
12630,7,254.53,0.0,0.0,1,12,3838
15240,7,292.74,0.0,0.0,1,4,319
43831,7,297.15,0.0,0.0,75,13,4730
6194,7,292.08,0.0,0.0,90,7,6136
40013,7,261.22,0.0,0.0,1,7,1390
12910,7,276.22,0.0,0.0,75,10,4702
27502,7,273.601,0.0,0.0,0,5,795
8855,7,303.78,0.0,0.0,0,15,5957
39186,7,267.55,0.0,0.0,1,6,834
39144,7,269.69,0.0,0.0,40,12,5069
18590,7,298.21,0.0,0.0,1,16,6448
9637,7,278.48,0.0,0.0,90,14,5741
46122,7,290.69,0.0,0.0,1,4,891
16141,7,289.81,0.3,0.0,1,7,6063
7809,7,301.13,0.0,0.0,88,15,4782
6244,7,289.89,0.0,0.0,90,8,6186
11012,7,271.94,0.0,0.0,64,11,4555
6291,7,286.93,0.0,0.0,90,16,6702
48068,7,283.94,0.25,0.0,90,14,4973
36025,7,285.48,0.0,0.0,1,7,6357
30094,7,261.23,0.0,0.0,1,8,3716
43664,7,277.65,0.0,0.0,1,4,280
45036,7,298.22,0.0,0.0,40,5,552
40902,7,265.48,0.0,0.0,75,9,3337
47698,7,294.95,0.25,0.0,20,7,2117
36032,7,294.14,0.0,0.0,5,11,4505
27727,7,287.007,0.0,0.0,92,15,5500
45124,7,290.75,0.0,0.0,90,9,4792
22575,7,286.29,0.0,0.0,90,15,6082
8125,7,286.25,0.0,0.0,0,4,779
11467,7,266.15,0.0,0.0,90,11,3454
42467,7,271.62,0.0,0.0,90,5,2867
19935,7,276.15,0.0,0.0,90,12,5542
3969,7,271.04,0.0,0.0,90,6,5853
16136,7,289.61,0.25,0.0,1,4,911
43673,7,289.46,0.0,0.0,1,13,4828
13897,7,278.61,0.65,0.0,90,14,5432
42071,7,274.55,0.0,0.0,90,11,3611
22779,7,284.41,0.51,0.0,40,4,830
24278,7,298.36,0.0,0.0,92,12,5500
29894,7,267.22,0.0,0.0,90,14,4068
29299,7,272.61,0.0,0.0,1,6,5446
5076,7,271.13,0.0,0.0,90,4,366
36836,7,290.68,0.0,0.0,75,4,419
25561,7,301.49,0.0,0.0,56,15,4673
46506,7,297.981,0.0,0.0,44,10,4416
37867,7,284.65,0.0,0.0,20,9,2778
46363,7,289.48,0.0,0.0,90,11,4652
35732,7,301.36,0.0,0.0,40,16,6529
39825,7,270.84,0.0,0.0,75,13,4743
16213,7,292.11,0.0,0.0,1,9,3227
37783,7,286.57,0.0,0.0,90,11,5043
4802,7,282.29,0.0,0.0,1,14,5855
34131,7,285.22,0.0,0.0,90,10,4452
30836,7,269.47,0.0,0.0,90,9,4140
10793,7,264.39,0.0,0.0,64,10,4865
36816,7,293.79,0.0,0.0,40,15,6062
42739,7,275.36,0.0,0.0,1,15,6040
40905,7,266.65,0.0,0.0,1,12,3506
12892,7,281.78,0.0,0.0,20,16,6598
19923,7,279.58,0.0,0.0,90,14,5444
30865,7,255.09,0.0,0.0,40,8,6115
22161,7,277.79,0.0,0.0,90,10,4733
15590,7,292.47,0.0,0.0,75,9,5325
25917,7,287.47,0.0,0.0,1,6,5406
11753,7,259.29,0.0,0.0,64,15,4762
23033,7,291.49,0.0,0.0,1,15,5769
32572,7,274.0,0.0,0.0,90,9,5220
43830,7,295.65,0.0,0.0,75,12,4775
1433,7,265.86,0.0,0.0,90,4,299
14511,7,291.56,0.25,0.0,40,12,4945
27623,7,274.788,0.0,0.0,20,7,6170
31084,7,286.372,0.0,0.0,0,11,5259
38549,7,274.21,0.0,0.0,90,16,6321
5155,7,273.36,0.0,0.0,90,15,5809
23897,7,290.74,0.0,0.0,75,8,5471
15306,7,299.54,0.0,0.0,92,14,5278
29921,7,270.34,0.0,0.0,90,9,4151
26775,7,289.7,0.0,0.0,0,7,6419
26754,7,288.0,0.0,0.0,12,10,4438
21018,7,266.58,0.0,0.0,40,11,3571
24782,7,295.42,0.0,0.0,75,13,4593
2046,7,275.34,0.0,0.0,90,4,271
9900,7,280.56,0.85,0.0,64,14,4532
17861,7,298.86,0.0,0.0,1,12,5314
19129,7,275.55,0.0,0.0,1,5,2766
40783,7,274.29,0.0,0.0,90,11,4936
42170,7,267.86,0.0,0.0,1,11,4922
22372,7,275.96,0.0,0.0,1,5,654
5395,7,278.0,0.0,0.0,90,12,4815
23583,7,291.03,0.0,0.0,40,4,877
7776,7,296.83,0.0,0.0,32,6,5943
40440,7,272.58,0.0,0.0,1,12,4512
29063,7,256.15,0.0,0.0,90,8,4539
7542,7,290.17,0.0,0.0,24,8,5425
11669,7,258.44,0.0,0.0,64,8,5120
9132,7,296.76,0.0,0.0,0,13,5160
17895,7,293.39,0.0,0.0,40,7,6477
34356,7,300.02,0.0,0.0,75,15,5745
15596,7,298.01,0.0,0.0,40,15,6139
39575,7,261.01,0.0,0.0,75,10,4486
3429,7,268.53,0.0,0.0,90,7,6710
9954,7,270.84,0.0,0.0,64,9,5093
1798,7,269.74,0.0,0.0,90,9,3421
34560,7,301.42,0.0,0.0,75,16,6239
11473,7,265.48,0.0,0.0,1,15,5160
14678,7,292.89,0.51,0.0,90,9,5341
42402,7,276.35,0.0,0.0,1,12,5798
27799,7,287.28,0.0,0.0,20,13,4646
8201,7,291.96,0.0,0.0,80,11,4767
40123,7,257.71,0.0,0.0,40,15,5398
28950,7,262.97,0.0,0.0,40,10,4589
20906,7,270.79,0.0,0.0,75,11,5040
17399,7,304.09,0.0,0.0,1,16,4399
8648,7,303.45,0.0,0.0,56,14,4723
16246,7,290.3,0.0,0.0,1,7,1403
15909,7,289.23,0.0,0.0,1,7,6886
160,7,283.11,0.0,0.0,90,11,4691
39338,7,276.55,0.0,0.0,75,12,4982
14773,7,296.03,0.0,0.0,40,8,3475
32729,7,288.61,0.0,0.0,90,11,4605
11713,7,262.64,0.0,0.0,64,4,728
3818,7,266.63,0.0,0.0,90,7,1943
21039,7,262.88,0.0,0.0,90,8,5383
6166,7,287.15,0.0,0.0,90,10,3591
3554,7,269.05,0.0,0.0,90,8,6198
7682,7,297.19,0.0,0.0,0,16,4333
8021,7,288.06,0.0,0.0,8,10,4475
45662,7,300.84,0.0,0.0,1,12,4075
8626,7,286.06,0.0,0.0,0,7,2737
7201,7,293.71,0.0,0.0,0,8,6266
46010,7,291.35,0.0,0.0,90,5,2822
33530,7,281.73,0.0,0.0,1,5,2915
40809,7,270.28,0.0,0.0,75,9,3381
36991,7,283.89,0.0,0.0,1,6,5573
30099,7,266.48,0.0,0.0,75,11,4145
37360,7,296.29,0.0,0.0,90,8,5971
48084,7,281.52,0.0,0.0,90,4,890
9642,7,270.51,0.0,0.0,1,7,6771
35117,7,296.15,0.0,0.0,90,7,6182
43571,7,273.68,0.0,0.0,1,7,6303
45634,7,293.08,0.0,0.0,1,8,2428
23899,7,292.64,0.0,0.0,90,10,4695
42472,7,270.68,0.0,0.0,90,9,5130
9180,7,287.83,0.0,0.0,90,16,4390
9823,7,269.66,0.0,0.0,64,8,6194
40317,7,255.23,0.0,0.0,1,9,5142
37913,7,273.61,0.0,0.0,1,7,6174
2919,7,256.42,0.0,0.0,75,9,4673
28092,7,273.58,0.0,0.0,75,4,888
9115,7,295.36,0.0,0.0,0,14,5496
43177,7,276.65,0.0,0.0,75,10,4853
10729,7,261.08,0.25,0.0,90,12,3914
25823,7,298.68,0.3,0.0,0,13,4144
45480,7,292.15,0.0,0.0,90,12,3696
40165,7,260.45,0.0,0.0,90,15,4515
45225,7,297.15,0.0,0.0,1,13,5104
40703,7,255.15,0.0,0.0,20,4,872
37835,7,285.15,0.0,0.0,90,8,3039
22743,7,286.36,0.0,0.0,90,15,4087
34180,7,292.14,0.0,0.0,5,10,4717
40247,7,252.46,0.0,0.0,1,16,3802
7270,7,293.26,0.0,0.0,48,4,785
14912,7,294.88,0.0,0.0,20,10,4846
36708,7,292.55,0.0,0.0,90,13,5038
40830,7,273.29,0.0,0.0,1,6,1070
38970,7,276.68,0.0,0.0,75,8,6104
37433,7,290.75,0.0,0.0,90,4,861
796,7,281.8,0.0,0.0,20,15,5936
34850,7,291.28,0.0,0.0,75,12,4714
27940,7,273.14,0.0,0.0,1,6,5822
9572,7,279.38,0.0,0.0,64,12,5031
10072,7,258.91,0.0,0.0,1,5,709
39890,7,270.15,0.0,0.0,1,7,6198
28520,7,271.08,0.0,0.0,90,4,300
33949,7,282.75,0.0,0.0,1,5,2913
8959,7,286.48,0.0,0.0,90,7,1155
33541,7,291.28,0.0,0.0,1,16,6548
40666,7,260.08,0.0,0.0,90,4,775
43354,7,269.43,0.0,0.0,75,9,4045
30150,7,274.48,0.0,0.0,90,14,5016
14558,7,286.15,0.0,0.0,1,9,5290
37888,7,280.51,0.0,0.0,1,6,5628
23759,7,289.35,0.0,0.0,90,5,557
23309,7,279.61,0.0,0.0,75,6,5592
11118,7,250.88,0.0,0.0,90,9,3648
2550,7,267.01,0.0,0.0,90,15,4976
18049,7,292.46,0.0,0.0,1,8,2204
39851,7,268.68,0.0,0.0,90,10,4399
36278,7,287.48,0.0,0.0,20,8,6088
9586,7,274.48,0.0,0.0,90,8,1715
40872,7,272.22,0.0,0.0,90,14,2846
33875,7,283.22,0.0,0.0,90,5,559
4208,7,275.35,0.0,0.0,90,13,4112
39428,7,272.72,0.0,0.0,1,6,813
38653,7,277.36,0.0,0.0,90,15,4890
33453,7,292.08,0.0,0.0,40,14,5048
39768,7,267.81,0.0,0.0,90,16,6757
47745,7,295.35,0.0,0.0,40,5,2965
34558,7,300.15,0.0,0.0,1,14,5121
16361,7,284.35,0.0,0.0,1,4,797
37259,7,286.22,0.0,0.0,90,11,4349
31198,7,276.09,0.0,0.0,1,4,869
37411,7,293.38,0.0,0.0,40,8,2302
44522,7,294.08,0.0,0.0,90,10,4554
33197,7,279.08,0.0,0.0,90,11,3947
9319,7,283.75,0.0,0.0,90,14,5466
46746,7,291.88,0.0,0.0,1,6,5386
47792,7,288.54,2.41,0.0,90,6,5642
38716,7,267.22,0.0,0.0,1,7,6268
29391,7,274.08,0.0,0.0,90,15,4566
23588,7,290.84,0.0,0.0,40,7,6409
40620,7,251.29,0.0,0.0,40,6,735
20013,7,273.65,0.0,0.0,90,14,5406
40965,7,270.09,0.0,0.0,90,15,5720
34110,7,288.69,0.0,0.0,90,13,3584
22786,7,283.52,1.52,0.0,90,7,6807
10844,7,264.93,0.0,0.0,64,9,3307
45897,7,296.15,0.0,0.0,1,10,4346
12170,7,257.52,0.0,0.0,40,11,4504
20466,7,272.59,0.0,0.0,90,7,6270
45076,7,294.15,0.0,0.0,75,5,2891
11858,7,261.61,0.0,0.0,40,11,4491
7877,7,293.27,0.0,0.0,80,7,6266
26032,7,285.07,0.0,0.0,1,6,4631
39075,7,274.55,0.0,0.0,40,15,4754
41591,7,264.41,0.0,0.0,90,4,284
27207,7,270.365,0.0,0.0,0,6,1579
13341,7,266.67,0.0,0.0,90,9,4845
26974,7,291.74,0.0,0.0,0,14,4569
13129,7,267.06,0.0,0.0,90,13,4587
2630,7,265.22,0.0,0.0,90,14,4944
29072,7,257.33,0.0,0.0,40,12,4432
20528,7,258.99,0.0,0.0,90,12,4984
18279,7,301.2,0.0,0.0,1,14,5351
7763,7,305.88,0.0,0.0,0,16,6477
26257,7,294.52,0.0,0.0,40,12,5218
6905,7,286.91,0.0,0.0,12,4,789
15586,7,288.85,0.0,0.0,1,5,2776
26383,7,294.27,0.51,0.0,90,10,4024
38395,7,273.72,0.0,0.0,90,12,5214
29560,7,268.51,0.0,0.0,1,6,4680
13412,7,271.07,0.51,0.0,90,9,3869
21044,7,269.21,0.0,0.0,90,14,5252
3224,7,272.94,0.0,0.0,90,5,2608
6882,7,289.4,0.0,0.0,36,8,6171
43580,7,286.79,0.0,0.0,1,16,6816
46151,7,293.28,0.0,0.0,90,9,4974
8065,7,290.12,0.38,0.0,80,5,2956
45167,7,291.15,0.0,0.0,40,5,3134
19324,7,288.44,0.0,0.0,90,14,5226
20279,7,267.96,0.0,0.05,90,4,763
6107,7,287.15,0.0,0.0,90,7,1984
38737,7,271.44,0.0,0.0,90,4,899
43757,7,285.72,0.0,0.0,40,11,4999
10765,7,260.52,0.0,0.0,64,4,860
42443,7,274.15,0.0,0.0,90,5,2788
29617,7,270.48,0.0,0.0,90,15,5690
46306,7,288.74,0.0,0.0,20,7,5655
32184,7,280.95,0.0,0.0,90,11,4701
14674,7,291.97,0.3,0.0,90,5,2715
9402,7,294.83,0.0,0.0,1,12,5205
21502,7,273.15,0.0,0.0,90,16,7118
15356,7,297.15,0.0,0.0,40,14,5627
24564,7,290.78,0.0,0.0,90,7,5836
7928,7,296.64,0.0,0.0,8,14,5842
14462,7,284.32,1.98,0.0,90,16,6215
1635,7,277.86,0.0,0.0,100,10,3179
40922,7,260.75,0.0,0.0,90,5,2915
13632,7,277.9,0.0,0.0,90,13,4267
21870,7,277.22,0.0,0.0,90,13,5501
6742,7,287.82,0.0,0.0,56,15,6291
22270,7,273.35,0.0,0.0,1,6,5699
14586,7,295.78,0.0,0.0,0,13,5491
47151,7,289.67,2.79,0.0,90,6,5611
8150,7,288.53,0.0,0.0,0,5,918
15740,7,290.85,1.8,0.0,90,7,6000
32923,7,282.2,0.0,0.0,1,10,4729
47227,7,296.67,0.25,0.0,40,15,6238
42224,7,274.82,0.0,0.0,90,16,5194
10647,7,261.39,0.0,0.0,90,14,5486
31001,7,280.65,0.0,0.0,1,15,5568
39288,7,278.81,0.0,0.0,75,10,4365
6035,7,285.13,0.0,0.0,20,7,6624
5627,7,294.95,0.0,0.0,1,15,6065
30147,7,273.15,0.0,0.0,90,12,4416
32900,7,280.15,0.0,0.0,90,14,5496
27372,7,286.975,0.0,0.0,8,11,3377
32597,7,279.62,0.0,0.0,90,9,5090
32416,7,275.14,0.0,0.0,1,4,838
313,7,281.72,0.0,0.0,100,12,4823
41193,7,262.43,0.0,0.0,40,6,1320
15890,7,299.15,0.0,0.0,40,14,5596
15251,7,301.06,0.0,0.0,1,15,3666
11115,7,249.15,0.0,0.0,1,6,3832
46876,7,297.01,0.0,0.0,1,16,6423
7406,7,300.79,0.0,0.0,1,16,6321
2592,7,252.84,0.0,0.0,40,9,4417
32222,7,281.27,0.0,0.0,90,15,5795
32046,7,275.62,0.0,0.0,90,8,2510
17931,7,292.42,0.0,0.0,75,6,5815
32152,7,273.65,0.0,0.0,1,4,835
28259,7,270.27,0.0,0.0,90,11,3706
42350,7,269.94,0.0,0.0,1,7,6537
30601,7,265.21,0.0,0.0,75,5,2685
7952,7,297.99,0.25,0.0,92,15,5975
15060,7,298.4,0.0,0.0,1,16,6567
31935,7,266.36,0.0,0.0,1,6,5699
17179,7,293.43,0.25,0.0,90,7,5926
43012,7,271.28,0.0,0.0,5,15,4908
19291,7,285.36,0.0,0.0,75,10,4477
12173,7,261.61,0.0,0.0,20,14,4747
20982,7,271.22,0.0,0.0,40,9,5097
25235,7,302.54,0.0,0.0,20,16,5718
4287,7,262.35,0.0,0.0,1,9,5615
31399,7,270.62,0.0,0.0,90,6,3771
18350,7,295.86,1.52,0.0,90,14,5182
23618,7,293.58,2.54,0.0,90,10,4506
26188,7,298.5,0.0,0.0,1,16,6243
10006,7,279.41,0.0,0.0,75,15,6199
46053,7,298.08,0.0,0.0,75,13,4644
6144,7,286.78,0.0,0.0,90,6,815
32087,7,274.94,0.0,0.0,90,7,1150
20943,7,277.08,0.0,0.0,1,16,4917
24113,7,305.56,0.0,0.0,0,15,4380
22906,7,276.95,0.0,0.0,75,8,5464
14162,7,285.91,0.3,0.0,90,4,749
43241,7,270.49,0.0,0.0,90,10,1978
28773,7,271.68,0.0,0.0,90,5,641
18747,7,278.83,0.0,0.0,1,5,775
38791,7,266.94,0.0,0.0,40,12,5151
12689,7,263.86,0.0,0.0,90,4,785
43004,7,261.89,0.0,0.0,1,7,1995
44120,7,294.88,0.0,0.0,5,14,5380
38693,7,274.72,0.0,0.0,90,8,2059
27276,7,282.04900000000004,0.0,0.0,92,5,2741
22902,7,274.88,0.0,0.0,90,6,5813
44520,7,293.15,0.0,0.0,90,9,5283
19346,7,278.44,0.0,0.0,90,5,2708
21220,7,253.36,0.0,0.0,1,8,5965
43623,7,286.65,0.0,0.0,1,11,5365
35797,7,291.22,0.0,0.0,1,8,1911
20464,7,272.54,0.0,0.0,90,5,2842
23794,7,287.66,0.25,0.0,1,7,1036
45084,7,292.88,0.0,0.0,90,9,4767
6771,7,283.7,0.25,0.0,68,10,4683
5151,7,273.36,0.0,0.0,90,14,5222
13626,7,277.85,0.0,0.0,90,7,1159
19006,7,292.84,0.0,0.0,1,16,6401
45642,7,301.61,0.0,0.0,5,16,4289
39764,7,267.28,0.0,0.0,90,13,5019
42115,7,271.43,0.0,0.0,90,8,4623
29787,7,251.84,0.0,0.0,5,10,4383
15905,7,289.6,0.0,0.0,1,4,965
23822,7,291.46,0.4,0.0,90,8,5563
24102,7,292.54,0.0,0.0,20,4,474
13007,7,273.3,0.25,0.0,1,11,4492
32600,7,284.21,0.0,0.0,75,12,4953
32126,7,275.95,0.0,0.0,90,6,5574
30783,7,266.41,0.0,0.0,20,11,3767
15441,7,295.95,0.0,0.0,76,10,3748
32243,7,279.02,0.0,0.0,40,12,5613
36973,7,291.15,0.0,0.0,75,12,5083
28384,7,274.52,0.0,0.0,90,12,4562
15683,7,297.85,0.0,0.0,1,6,5588
4968,7,276.36,0.0,0.0,90,14,5207
46975,7,291.79,0.42,0.0,90,7,6243
20880,7,275.42,0.0,0.0,90,5,2729
23031,7,289.97,0.0,0.0,20,13,4974
36283,7,290.28,0.0,0.0,75,10,4589
41552,7,264.72,0.0,0.0,20,15,5921
13751,7,280.3,1.27,0.0,40,12,5748
12072,7,254.83,0.0,0.0,1,9,5002
36864,7,286.87,0.0,0.0,1,6,1018
3824,7,267.23,0.0,0.0,90,9,3524
42734,7,270.01,0.0,0.0,20,10,4579
43971,7,282.02,0.0,0.0,1,10,4691
8222,7,289.48,9.53,0.0,90,4,852
9022,7,292.15,0.0,0.0,90,10,4501
32127,7,275.95,0.0,0.0,90,6,5574
29128,7,258.08,0.0,0.0,5,13,4708
34425,7,289.55,0.0,0.0,90,10,2709
15172,7,301.2,0.0,0.0,0,15,4853
17711,7,287.64,0.0,0.0,1,9,5147
11749,7,257.49,0.0,0.0,64,11,4032
31155,7,286.399,0.0,0.0,88,10,4016
14809,7,292.73,3.91,0.0,44,10,3668
14200,7,293.78,0.0,0.0,40,16,4644
3042,7,267.98,0.0,0.0,90,7,1702
41947,7,271.51,0.0,0.0,40,4,919
10078,7,263.43,0.0,0.0,75,11,4975
35921,7,286.15,0.0,0.0,90,16,6587
2634,7,265.16,0.0,0.0,90,16,6142
6494,7,286.3,0.0,0.0,90,11,4811
15307,7,299.51,0.0,0.0,92,15,5718
26276,7,288.07,0.0,0.0,1,7,2285
2417,7,258.39,0.0,0.0,90,8,4285
10547,7,252.62,0.0,0.0,40,8,4719
