,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density,holiday_0,holiday_1,holiday_2,holiday_3,holiday_4,holiday_5,holiday_6,holiday_7,holiday_8,holiday_9,holiday_10,holiday_11
44807,291.44,0.0,0.0,90,8,2686,0,0,0,0,0,0,0,1,0,0,0,0
23338,275.88,0.0,0.0,90,3,411,0,0,0,0,0,0,0,1,0,0,0,0
7291,293.92,0.25,0.0,0,2,627,0,0,0,0,0,0,0,1,0,0,0,0
22080,275.58,0.0,0.0,90,9,2450,0,0,0,0,0,0,0,1,0,0,0,0
45485,293.41,0.0,0.0,75,15,4365,0,0,0,0,0,0,0,1,0,0,0,0
5320,272.63,0.0,0.0,90,0,1190,0,0,0,0,0,0,0,1,0,0,0,0
24975,289.07,0.0,0.0,0,21,2996,0,0,0,0,0,0,0,1,0,0,0,0
24390,286.81,0.0,0.0,80,4,947,0,0,0,0,0,0,0,1,0,0,0,0
11055,269.11,0.25,0.0,64,23,1555,0,0,0,0,0,0,0,1,0,0,0,0
5309,273.23,0.0,0.0,90,20,3240,0,0,0,0,0,0,0,1,0,0,0,0
29037,266.62,0.0,0.0,90,16,3215,0,0,0,0,0,0,0,1,0,0,0,0
44008,283.94,0.0,0.0,90,20,3108,0,0,0,0,0,0,0,1,0,0,0,0
30326,274.95,0.0,0.0,90,9,3631,0,0,0,0,0,0,0,1,0,0,0,0
46143,292.42,0.0,0.0,1,1,388,0,0,0,0,0,0,0,1,0,0,0,0
46426,295.79,0.0,0.0,90,12,4263,0,0,0,0,0,0,0,1,0,0,0,0
4183,274.41,0.0,0.0,40,21,3609,0,0,0,0,0,0,0,1,0,0,0,0
6653,285.91,0.0,0.0,1,23,1039,0,0,0,0,0,0,0,1,0,0,0,0
3498,270.86,0.0,0.0,90,5,2419,0,0,0,0,0,0,0,1,0,0,0,0
8945,286.86,0.0,0.0,90,23,1629,0,0,0,0,0,0,0,1,0,0,0,0
9102,287.34,0.0,0.0,0,23,1127,0,0,0,0,0,0,0,1,0,0,0,0
921,280.56,0.0,0.0,46,21,1963,0,0,0,0,0,0,0,1,0,0,0,0
6774,284.85,0.0,0.0,64,12,5595,0,0,0,0,0,0,0,1,0,0,0,0
20244,265.99,0.0,0.0,1,13,4206,0,0,0,0,0,0,0,1,0,0,0,0
17159,295.0,6.1,0.0,90,20,2974,0,0,0,0,0,0,0,1,0,0,0,0
23301,284.38,0.0,0.0,75,22,2442,0,0,0,0,0,0,0,1,0,0,0,0
21652,278.09,0.0,0.0,40,6,5870,0,0,0,0,0,0,0,1,0,0,0,0
42598,273.8,0.0,0.0,1,23,2104,0,0,0,0,0,0,0,1,0,0,0,0
5209,278.84,0.0,0.0,20,15,5982,0,0,0,0,0,0,0,1,0,0,0,0
277,283.33,0.0,0.0,57,12,4076,0,0,0,0,0,0,0,1,0,0,0,0
32165,289.75,0.0,0.0,1,16,6725,0,0,0,0,0,0,0,1,0,0,0,0
47714,298.21,0.0,0.0,1,22,2741,0,0,0,0,0,0,0,1,0,0,0,0
47328,292.83,0.25,0.0,1,23,1475,0,0,0,0,0,0,0,1,0,0,0,0
15778,298.32,0.0,0.0,1,21,3576,0,0,0,0,0,0,0,1,0,0,0,0
5148,273.25,0.0,0.0,90,13,4880,0,0,0,0,0,0,0,1,0,0,0,0
2515,261.01,0.0,0.0,17,9,1997,0,0,0,0,0,0,0,1,0,0,0,0
3061,271.35,0.0,0.0,90,5,419,0,0,0,0,0,0,0,1,0,0,0,0
22994,281.91,0.0,0.0,1,0,568,0,0,0,0,0,0,0,1,0,0,0,0
1280,285.96,0.0,0.0,75,13,4075,0,0,0,0,0,0,0,1,0,0,0,0
25679,297.73,0.0,0.0,12,13,4568,0,0,0,0,0,0,0,1,0,0,0,0
13753,282.49,0.34,0.0,75,14,5807,0,0,0,0,0,0,0,1,0,0,0,0
43174,275.94,0.0,0.0,90,8,5894,0,0,0,0,0,0,0,1,0,0,0,0
28738,275.15,0.0,0.0,90,18,4331,0,0,0,0,0,0,0,1,0,0,0,0
27963,280.69,0.0,0.0,1,4,925,0,0,0,0,0,0,0,1,0,0,0,0
42720,280.48,0.0,0.0,90,19,3392,0,0,0,0,0,0,0,1,0,0,0,0
2811,272.52,0.0,0.0,1,6,5163,0,0,0,0,0,0,0,1,0,0,0,0
779,276.03,0.0,0.0,40,22,1979,0,0,0,0,0,0,0,1,0,0,0,0
35291,294.94,0.0,0.0,75,22,2217,0,0,0,0,0,0,0,1,0,0,0,0
30637,273.82,0.0,0.0,75,0,521,0,0,0,0,0,0,0,1,0,0,0,0
35630,296.51,0.0,0.0,75,14,4893,0,0,0,0,0,0,0,1,0,0,0,0
36874,301.68,0.0,0.0,40,16,4159,0,0,0,0,0,0,0,1,0,0,0,0
47800,288.46,2.54,0.0,90,9,5123,0,0,0,0,0,0,0,1,0,0,0,0
9879,285.12,0.0,0.0,1,15,6300,0,0,0,0,0,0,0,1,0,0,0,0
46035,295.56,0.0,0.0,90,19,3574,0,0,0,0,0,0,0,1,0,0,0,0
1582,275.24,0.0,0.0,90,16,6749,0,0,0,0,0,0,0,1,0,0,0,0
12894,281.86,0.0,0.0,40,18,4523,0,0,0,0,0,0,0,1,0,0,0,0
16411,287.09,0.0,0.0,75,6,5742,0,0,0,0,0,0,0,1,0,0,0,0
39713,264.55,0.0,0.0,90,13,4869,0,0,0,0,0,0,0,1,0,0,0,0
35509,292.02,0.0,0.0,90,5,3008,0,0,0,0,0,0,0,1,0,0,0,0
15373,290.5,0.0,0.0,0,7,6637,0,0,0,0,0,0,0,1,0,0,0,0
25779,297.71,31.75,0.0,0,17,4913,0,0,0,0,0,0,0,1,0,0,0,0
22228,275.0,0.0,0.0,90,13,4880,0,0,0,0,0,0,0,1,0,0,0,0
3453,267.34,0.0,0.0,90,8,3001,0,0,0,0,0,0,0,1,0,0,0,0
26828,293.57,0.0,0.0,36,12,4500,0,0,0,0,0,0,0,1,0,0,0,0
1547,269.73,0.0,0.0,90,3,363,0,0,0,0,0,0,0,1,0,0,0,0
8592,302.28,0.0,0.0,92,17,5786,0,0,0,0,0,0,0,1,0,0,0,0
33452,291.21,0.0,0.0,75,13,4822,0,0,0,0,0,0,0,1,0,0,0,0
16721,297.67,0.0,0.0,1,12,4570,0,0,0,0,0,0,0,1,0,0,0,0
18274,293.64,0.0,0.0,5,9,5395,0,0,0,0,0,0,0,1,0,0,0,0
34116,289.28,0.0,0.0,75,19,2878,0,0,0,0,0,0,0,1,0,0,0,0
18718,283.65,0.0,0.0,1,20,3300,0,0,0,0,0,0,0,1,0,0,0,0
25271,296.58,0.0,0.0,90,4,1254,0,0,0,0,0,0,0,1,0,0,0,0
17322,301.85,0.0,0.0,1,17,6386,0,0,0,0,0,0,0,1,0,0,0,0
37006,287.14,0.0,0.0,1,21,2997,0,0,0,0,0,0,0,1,0,0,0,0
31119,276.249,0.0,0.0,20,22,4272,0,0,0,0,0,0,0,1,0,0,0,0
21443,272.95,0.0,0.0,90,23,912,0,0,0,0,0,0,0,1,0,0,0,0
19912,280.36,0.0,0.0,1,22,1672,0,0,0,0,0,0,0,1,0,0,0,0
17517,290.02,0.25,0.0,90,0,581,0,0,0,0,0,0,0,1,0,0,0,0
29990,261.52,0.0,0.0,5,12,4962,0,0,0,0,0,0,0,1,0,0,0,0
24441,295.45,0.0,0.0,20,5,1009,0,0,0,0,0,0,0,1,0,0,0,0
26826,289.15,0.0,0.0,80,10,4261,0,0,0,0,0,0,0,1,0,0,0,0
37835,285.15,0.0,0.0,90,8,3039,0,0,0,0,0,0,0,1,0,0,0,0
28213,273.59,0.0,0.0,90,18,3486,0,0,0,0,0,0,0,1,0,0,0,0
40677,256.94,0.0,0.0,90,9,3410,0,0,0,0,0,0,0,1,0,0,0,0
1924,259.04,0.0,0.0,40,17,4913,0,0,0,0,0,0,0,1,0,0,0,0
47240,294.04,1.4,0.0,90,3,378,0,0,0,0,0,0,0,1,0,0,0,0
47351,293.68,0.25,0.0,90,10,3050,0,0,0,0,0,0,0,1,0,0,0,0
6498,286.99,0.0,0.0,90,14,5556,0,0,0,0,0,0,0,1,0,0,0,0
38505,273.15,0.0,0.0,90,23,998,0,0,0,0,0,0,0,1,0,0,0,0
2603,262.54,0.0,0.0,90,17,5191,0,0,0,0,0,0,0,1,0,0,0,0
13443,281.62,0.0,0.0,40,16,4665,0,0,0,0,0,0,0,1,0,0,0,0
7774,298.06,0.0,0.0,0,3,419,0,0,0,0,0,0,0,1,0,0,0,0
37295,298.15,0.0,0.0,75,15,5823,0,0,0,0,0,0,0,1,0,0,0,0
22962,289.44,0.0,0.0,75,16,4557,0,0,0,0,0,0,0,1,0,0,0,0
29612,266.35,0.0,0.0,40,10,4235,0,0,0,0,0,0,0,1,0,0,0,0
39857,270.15,0.0,0.0,40,13,3977,0,0,0,0,0,0,0,1,0,0,0,0
42595,275.49,0.0,0.0,5,20,3044,0,0,0,0,0,0,0,1,0,0,0,0
42696,277.55,0.0,0.0,5,21,2415,0,0,0,0,0,0,0,1,0,0,0,0
41685,260.55,0.0,0.0,1,23,965,0,0,0,0,0,0,0,1,0,0,0,0
7251,297.81,0.0,0.0,44,9,5572,0,0,0,0,0,0,0,1,0,0,0,0
39450,283.93,0.0,0.0,90,4,915,0,0,0,0,0,0,0,1,0,0,0,0
32902,281.35,0.0,0.0,90,16,6925,0,0,0,0,0,0,0,1,0,0,0,0
37995,286.86,0.0,0.0,20,14,5976,0,0,0,0,0,0,0,1,0,0,0,0
968,277.15,0.0,0.0,90,4,790,0,0,0,0,0,0,0,1,0,0,0,0
13882,278.94,0.25,0.0,90,23,1005,0,0,0,0,0,0,0,1,0,0,0,0
24005,284.18,0.0,0.0,1,3,337,0,0,0,0,0,0,0,1,0,0,0,0
15751,298.55,0.0,0.0,90,18,4859,0,0,0,0,0,0,0,1,0,0,0,0
14460,284.37,3.08,0.0,92,15,5461,0,0,0,0,0,0,0,1,0,0,0,0
19111,286.5,0.0,0.0,1,10,4551,0,0,0,0,0,0,0,1,0,0,0,0
29735,262.09,0.0,0.0,1,12,4317,0,0,0,0,0,0,0,1,0,0,0,0
11031,269.11,0.0,0.0,64,4,323,0,0,0,0,0,0,0,1,0,0,0,0
16881,302.58,0.0,0.0,40,14,3607,0,0,0,0,0,0,0,1,0,0,0,0
19836,278.82,0.0,0.0,1,16,5255,0,0,0,0,0,0,0,1,0,0,0,0
30210,272.75,0.0,0.0,1,3,486,0,0,0,0,0,0,0,1,0,0,0,0
13096,262.28,0.0,0.0,1,4,373,0,0,0,0,0,0,0,1,0,0,0,0
39551,264.87,0.0,0.0,90,16,5729,0,0,0,0,0,0,0,1,0,0,0,0
38704,271.79,0.0,0.0,90,19,2888,0,0,0,0,0,0,0,1,0,0,0,0
45969,295.01,0.0,0.0,90,9,4855,0,0,0,0,0,0,0,1,0,0,0,0
43578,284.86,0.0,0.0,1,14,5276,0,0,0,0,0,0,0,1,0,0,0,0
35234,301.75,0.0,0.0,1,18,4167,0,0,0,0,0,0,0,1,0,0,0,0
38423,273.42,0.0,0.0,75,1,796,0,0,0,0,0,0,0,1,0,0,0,0
11019,274.7,0.25,0.0,64,19,3143,0,0,0,0,0,0,0,1,0,0,0,0
14703,293.59,0.0,0.0,20,10,4586,0,0,0,0,0,0,0,1,0,0,0,0
41167,250.46,0.0,0.0,1,4,922,0,0,0,0,0,0,0,1,0,0,0,0
4142,259.73,0.0,0.0,40,3,352,0,0,0,0,0,0,0,1,0,0,0,0
9191,280.64,0.0,0.0,1,5,543,0,0,0,0,0,0,0,1,0,0,0,0
43912,291.54,0.0,0.0,75,14,5196,0,0,0,0,0,0,0,1,0,0,0,0
6857,287.71,1.44,0.0,92,14,5162,0,0,0,0,0,0,0,1,0,0,0,0
27241,292.49,0.0,0.0,36,18,4188,0,0,0,0,0,0,0,1,0,0,0,0
36798,286.22,0.0,0.0,1,0,808,0,0,0,0,0,0,0,1,0,0,0,0
30224,272.79,0.0,0.0,5,8,5355,0,0,0,0,0,0,0,1,0,0,0,0
35306,288.07,0.0,0.0,90,10,4498,0,0,0,0,0,0,0,1,0,0,0,0
2555,266.18,0.0,0.0,40,20,2888,0,0,0,0,0,0,0,1,0,0,0,0
45083,292.88,0.0,0.0,90,9,4767,0,0,0,0,0,0,0,1,0,0,0,0
29767,255.28,0.0,0.0,40,19,2861,0,0,0,0,0,0,0,1,0,0,0,0
14255,287.48,0.25,0.0,90,5,2740,0,0,0,0,0,0,0,1,0,0,0,0
14839,290.98,0.25,0.0,80,5,2900,0,0,0,0,0,0,0,1,0,0,0,0
2299,261.21,0.0,0.0,1,10,3705,0,0,0,0,0,0,0,1,0,0,0,0
14496,284.03,0.76,0.0,90,6,5874,0,0,0,0,0,0,0,1,0,0,0,0
23911,291.36,0.0,0.0,90,17,5924,0,0,0,0,0,0,0,1,0,0,0,0
20844,270.72,0.0,0.0,90,23,1598,0,0,0,0,0,0,0,1,0,0,0,0
7230,299.48,0.0,0.0,36,12,5347,0,0,0,0,0,0,0,1,0,0,0,0
25924,299.48,0.0,0.0,1,13,4494,0,0,0,0,0,0,0,1,0,0,0,0
9598,276.72,0.0,0.0,90,22,1587,0,0,0,0,0,0,0,1,0,0,0,0
35165,286.62,0.0,0.0,1,4,433,0,0,0,0,0,0,0,1,0,0,0,0
43648,282.72,0.0,0.0,40,12,5453,0,0,0,0,0,0,0,1,0,0,0,0
12642,250.77,0.0,0.0,1,0,925,0,0,0,0,0,0,0,1,0,0,0,0
40998,278.15,0.0,0.0,1,10,4693,0,0,0,0,0,0,0,1,0,0,0,0
10055,272.15,0.0,0.0,1,12,5505,0,0,0,0,0,0,0,1,0,0,0,0
800,278.48,0.0,0.0,20,19,2711,0,0,0,0,0,0,0,1,0,0,0,0
29406,273.96,0.0,0.0,90,23,1577,0,0,0,0,0,0,0,1,0,0,0,0
36301,292.803,0.0,0.0,92,5,2963,0,0,0,0,0,0,0,1,0,0,0,0
38056,278.69,0.0,0.0,40,6,1201,0,0,0,0,0,0,0,1,0,0,0,0
30812,273.02,0.0,0.0,90,16,6551,0,0,0,0,0,0,0,1,0,0,0,0
23560,294.54,0.0,0.0,90,10,4326,0,0,0,0,0,0,0,1,0,0,0,0
45069,294.92,0.0,0.0,90,2,272,0,0,0,0,0,0,0,1,0,0,0,0
1426,268.72,0.0,0.0,90,23,1512,0,0,0,0,0,0,0,1,0,0,0,0
30736,264.35,0.0,0.0,1,12,5157,0,0,0,0,0,0,0,1,0,0,0,0
16776,299.18,0.0,0.0,1,19,3487,0,0,0,0,0,0,0,1,0,0,0,0
38519,272.58,0.0,0.0,90,13,4910,0,0,0,0,0,0,0,1,0,0,0,0
9704,268.77,0.0,0.0,64,6,5638,0,0,0,0,0,0,0,1,0,0,0,0
45702,291.59,0.0,0.0,1,2,295,0,0,0,0,0,0,0,1,0,0,0,0
23941,293.21,0.0,0.0,90,14,5104,0,0,0,0,0,0,0,1,0,0,0,0
10265,273.95,0.0,0.0,64,14,4499,0,0,0,0,0,0,0,1,0,0,0,0
39509,267.42,0.0,0.0,75,4,853,0,0,0,0,0,0,0,1,0,0,0,0
36011,289.08,0.0,0.0,1,0,632,0,0,0,0,0,0,0,1,0,0,0,0
16155,291.35,0.0,0.0,1,22,2020,0,0,0,0,0,0,0,1,0,0,0,0
35538,292.58,0.0,0.0,1,3,371,0,0,0,0,0,0,0,1,0,0,0,0
4744,267.85,0.0,0.0,1,2,268,0,0,0,0,0,0,0,1,0,0,0,0
24700,297.44,0.0,0.0,90,18,3177,0,0,0,0,0,0,0,1,0,0,0,0
43348,268.5,0.0,0.0,75,4,779,0,0,0,0,0,0,0,1,0,0,0,0
32625,281.4,0.0,0.0,90,0,3075,0,0,0,0,0,0,0,1,0,0,0,0
34094,285.78,0.0,0.0,1,23,1649,0,0,0,0,0,0,0,1,0,0,0,0
44894,293.02,0.0,0.0,40,0,621,0,0,0,0,0,0,0,1,0,0,0,0
48035,296.0,0.0,0.0,40,14,4816,0,0,0,0,0,0,0,1,0,0,0,0
9417,288.39,0.0,0.0,1,3,396,0,0,0,0,0,0,0,1,0,0,0,0
44676,290.94,0.0,0.0,5,9,5108,0,0,0,0,0,0,0,1,0,0,0,0
30962,275.88,0.0,0.0,40,1,829,0,0,0,0,0,0,0,1,0,0,0,0
28256,269.21,0.0,0.0,90,8,2089,0,0,0,0,0,0,0,1,0,0,0,0
28780,272.09,0.0,0.0,90,11,4726,0,0,0,0,0,0,0,1,0,0,0,0
6360,279.89,0.0,0.0,1,7,6372,0,0,0,0,0,0,0,1,0,0,0,0
13006,272.81,0.0,0.0,90,10,4240,0,0,0,0,0,0,0,1,0,0,0,0
18758,284.14,0.0,0.0,1,19,3973,0,0,0,0,0,0,0,1,0,0,0,0
10334,274.5,0.0,0.0,64,5,2839,0,0,0,0,0,0,0,1,0,0,0,0
42131,269.0,0.0,0.0,1,21,3415,0,0,0,0,0,0,0,1,0,0,0,0
13757,283.16,0.0,0.0,90,18,4508,0,0,0,0,0,0,0,1,0,0,0,0
13214,277.35,0.0,0.0,90,2,237,0,0,0,0,0,0,0,1,0,0,0,0
44067,287.08,0.0,0.0,1,4,875,0,0,0,0,0,0,0,1,0,0,0,0
6239,289.68,0.0,0.0,90,6,6036,0,0,0,0,0,0,0,1,0,0,0,0
8299,296.19,0.0,0.0,40,14,5909,0,0,0,0,0,0,0,1,0,0,0,0
12618,250.77,0.0,0.0,75,0,1024,0,0,0,0,0,0,0,1,0,0,0,0
5673,277.33,0.0,0.0,90,8,5857,0,0,0,0,0,0,0,1,0,0,0,0
32682,287.15,0.0,0.0,90,21,2872,0,0,0,0,0,0,0,1,0,0,0,0
11425,271.85,0.0,0.0,64,7,6276,0,0,0,0,0,0,0,1,0,0,0,0
47375,294.31,0.25,0.0,90,1,321,0,0,0,0,0,0,0,1,0,0,0,0
30532,265.72,0.0,0.0,90,8,5802,0,0,0,0,0,0,0,1,0,0,0,0
26753,286.28,0.0,0.0,32,8,6224,0,0,0,0,0,0,0,1,0,0,0,0
24473,300.09,0.0,0.0,20,12,4303,0,0,0,0,0,0,0,1,0,0,0,0
35288,299.03,0.0,0.0,75,19,3410,0,0,0,0,0,0,0,1,0,0,0,0
14202,291.09,0.25,0.0,76,18,4003,0,0,0,0,0,0,0,1,0,0,0,0
32102,277.95,0.0,0.0,90,14,4659,0,0,0,0,0,0,0,1,0,0,0,0
35995,295.87,0.0,0.0,90,14,4186,0,0,0,0,0,0,0,1,0,0,0,0
9477,284.26,0.25,0.0,92,10,4480,0,0,0,0,0,0,0,1,0,0,0,0
3082,254.7,0.0,0.0,90,7,4397,0,0,0,0,0,0,0,1,0,0,0,0
39451,284.07,0.0,0.0,90,5,2938,0,0,0,0,0,0,0,1,0,0,0,0
880,275.42,0.0,0.0,90,2,345,0,0,0,0,0,0,0,1,0,0,0,0
11410,277.63,0.67,0.0,64,15,4151,0,0,0,0,0,0,0,1,0,0,0,0
3927,266.32,0.0,0.0,1,22,3111,0,0,0,0,0,0,0,1,0,0,0,0
35754,299.94,0.0,0.0,1,13,5518,0,0,0,0,0,0,0,1,0,0,0,0
29933,265.78,0.0,0.0,90,14,3945,0,0,0,0,0,0,0,1,0,0,0,0
2163,268.37,0.0,0.0,90,15,6120,0,0,0,0,0,0,0,1,0,0,0,0
23954,286.59,0.0,0.0,1,1,913,0,0,0,0,0,0,0,1,0,0,0,0
23205,283.14,0.51,0.0,90,10,4454,0,0,0,0,0,0,0,1,0,0,0,0
19970,276.94,0.0,0.0,90,10,3331,0,0,0,0,0,0,0,1,0,0,0,0
35570,293.56,0.0,0.0,1,5,838,0,0,0,0,0,0,0,1,0,0,0,0
16889,297.51,0.0,0.0,1,22,2151,0,0,0,0,0,0,0,1,0,0,0,0
24251,294.85,0.0,0.0,0,9,5325,0,0,0,0,0,0,0,1,0,0,0,0
15253,301.91,0.0,0.0,1,17,3247,0,0,0,0,0,0,0,1,0,0,0,0
7731,297.01,0.0,0.0,32,4,783,0,0,0,0,0,0,0,1,0,0,0,0
25942,292.16,0.0,0.0,1,7,5731,0,0,0,0,0,0,0,1,0,0,0,0
10267,273.71,0.0,0.0,64,16,4963,0,0,0,0,0,0,0,1,0,0,0,0
15488,290.02,0.0,0.0,40,2,333,0,0,0,0,0,0,0,1,0,0,0,0
10815,264.17,0.0,0.0,64,2,364,0,0,0,0,0,0,0,1,0,0,0,0
35536,292.51,0.0,0.0,1,2,333,0,0,0,0,0,0,0,1,0,0,0,0
41456,257.95,0.0,0.0,5,20,2498,0,0,0,0,0,0,0,1,0,0,0,0
15927,289.61,0.0,0.0,1,1,478,0,0,0,0,0,0,0,1,0,0,0,0
22397,278.75,0.0,0.0,40,16,6679,0,0,0,0,0,0,0,1,0,0,0,0
21833,280.36,0.0,0.0,90,1,400,0,0,0,0,0,0,0,1,0,0,0,0
13622,279.24,0.0,0.0,90,3,364,0,0,0,0,0,0,0,1,0,0,0,0
5759,275.36,0.0,0.0,90,18,4431,0,0,0,0,0,0,0,1,0,0,0,0
2195,267.89,0.0,0.0,90,9,5318,0,0,0,0,0,0,0,1,0,0,0,0
7634,295.58,0.0,0.0,12,1,910,0,0,0,0,0,0,0,1,0,0,0,0
22182,275.36,0.0,0.0,40,11,5439,0,0,0,0,0,0,0,1,0,0,0,0
28735,275.88,0.0,0.0,90,15,5823,0,0,0,0,0,0,0,1,0,0,0,0
28311,274.15,0.0,0.0,90,10,4070,0,0,0,0,0,0,0,1,0,0,0,0
42631,273.23,0.0,0.0,90,6,5213,0,0,0,0,0,0,0,1,0,0,0,0
46652,294.93,0.0,0.0,1,9,2713,0,0,0,0,0,0,0,1,0,0,0,0
78,279.65,0.0,0.0,75,21,2971,0,0,0,0,0,0,0,1,0,0,0,0
20236,267.22,0.0,0.0,90,4,285,0,0,0,0,0,0,0,1,0,0,0,0
26064,290.73,4.57,0.0,90,11,4265,0,0,0,0,0,0,0,1,0,0,0,0
21385,276.58,0.0,0.0,90,9,5170,0,0,0,0,0,0,0,1,0,0,0,0
33470,285.29,0.0,0.0,90,23,955,0,0,0,0,0,0,0,1,0,0,0,0
10893,254.41,0.0,0.0,64,9,4314,0,0,0,0,0,0,0,1,0,0,0,0
4682,277.21,0.0,0.0,90,10,3166,0,0,0,0,0,0,0,1,0,0,0,0
45623,297.15,0.0,0.0,75,21,2903,0,0,0,0,0,0,0,1,0,0,0,0
2578,257.39,0.0,0.0,1,19,2154,0,0,0,0,0,0,0,1,0,0,0,0
2091,274.98,0.0,0.0,90,17,3775,0,0,0,0,0,0,0,1,0,0,0,0
5068,271.88,0.0,0.0,90,1,707,0,0,0,0,0,0,0,1,0,0,0,0
31045,267.775,0.0,0.0,0,20,2844,0,0,0,0,0,0,0,1,0,0,0,0
16746,298.44,0.0,0.0,40,13,4796,0,0,0,0,0,0,0,1,0,0,0,0
19069,285.62,0.0,0.0,1,21,2256,0,0,0,0,0,0,0,1,0,0,0,0
10114,271.66,0.0,0.0,1,23,894,0,0,0,0,0,0,0,1,0,0,0,0
28376,274.15,0.0,0.0,90,9,4056,0,0,0,0,0,0,0,1,0,0,0,0
40123,257.71,0.0,0.0,40,15,5398,0,0,0,0,0,0,0,1,0,0,0,0
33957,286.28,0.0,0.0,90,12,4695,0,0,0,0,0,0,0,1,0,0,0,0
47957,283.96,0.25,0.0,90,9,4981,0,0,0,0,0,0,0,1,0,0,0,0
35809,300.01,0.0,0.0,75,20,4177,0,0,0,0,0,0,0,1,0,0,0,0
13455,278.77,0.0,0.0,75,4,297,0,0,0,0,0,0,0,1,0,0,0,0
35278,296.62,0.0,0.0,1,9,5228,0,0,0,0,0,0,0,1,0,0,0,0
17591,287.56,0.0,0.0,1,22,2298,0,0,0,0,0,0,0,1,0,0,0,0
29645,267.29,0.0,0.0,1,19,3974,0,0,0,0,0,0,0,1,0,0,0,0
46072,290.72,0.0,0.0,90,8,2009,0,0,0,0,0,0,0,1,0,0,0,0
36938,283.65,0.0,0.0,90,4,889,0,0,0,0,0,0,0,1,0,0,0,0
15683,297.85,0.0,0.0,1,6,5588,0,0,0,0,0,0,0,1,0,0,0,0
