,holiday,temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density
38709,7,269.79,0.0,0.0,1,0,469
11841,7,254.96,0.0,0.0,40,18,3873
20489,7,273.35,0.0,0.06,75,0,628
30195,7,273.65,0.0,0.0,5,21,2347
28269,7,269.15,0.0,0.0,1,21,1675
31696,7,265.75,0.0,0.0,90,20,1817
8244,7,292.9,0.0,0.0,76,23,1778
44709,7,299.07,0.0,0.0,1,18,4582
35743,7,291.15,0.0,0.0,1,3,458
46689,7,299.8,0.0,0.0,5,21,2615
41883,7,274.22,0.0,0.0,1,21,2197
24118,7,300.83,0.0,0.0,0,20,3351
1166,7,269.06,0.0,0.0,90,17,6212
28357,7,273.95,0.0,0.0,90,3,378
38467,7,278.42,0.0,0.0,90,19,3409
35923,7,286.35,0.0,0.0,90,17,6060
24632,7,289.3,0.0,0.0,1,2,759
15673,7,302.1,0.0,0.0,90,20,2730
44694,7,291.89,0.0,0.0,1,3,355
37381,7,298.65,0.0,0.0,1,3,440
41734,7,269.86,0.0,0.0,90,22,1905
35807,7,301.51,0.0,0.0,75,18,4771
21737,7,286.82,0.0,0.0,1,20,3373
10812,7,264.14,0.38,0.0,64,1,424
35585,7,302.23,0.0,0.0,1,20,3546
44355,7,294.95,0.0,0.0,75,21,2626
45581,7,295.44,0.0,0.0,1,3,338
35589,7,293.8,0.0,0.0,1,0,2539
34458,7,291.41,0.0,0.0,90,3,320
15428,7,294.99,0.0,0.0,80,2,650
48172,7,280.68,0.0,0.0,90,19,3818
4461,7,270.15,0.0,0.0,1,18,4762
7117,7,295.04,0.0,0.0,92,1,516
17061,7,291.7,0.0,0.0,1,23,1156
22345,7,270.6,0.0,0.0,1,22,2552
37168,7,295.92,0.0,0.0,1,2,333
30503,7,271.65,0.0,0.0,90,3,370
30086,7,264.95,0.0,0.0,1,3,601
2289,7,261.72,0.0,0.0,1,0,1227
27738,7,286.399,0.0,0.0,8,2,252
18636,7,293.96,0.0,0.0,75,0,546
22387,7,274.48,0.0,0.0,40,1,342
12057,7,256.19,0.0,0.0,75,18,4357
25954,7,297.61,12.7,0.0,90,19,3389
8056,7,292.1,0.0,0.0,80,23,1204
22920,7,282.32,0.0,0.0,1,22,808
40033,7,264.44,0.0,0.0,40,3,374
35454,7,291.08,0.0,0.0,1,0,785
7387,7,297.11,0.0,0.0,1,20,3074
23173,7,286.66,0.25,0.0,90,21,2543
7067,7,293.47,0.0,0.0,8,21,2564
41055,7,265.35,0.0,0.0,90,18,3849
21082,7,269.65,0.0,0.0,75,0,1254
7980,7,290.65,0.0,0.0,92,18,3948
10155,7,262.63,0.0,0.0,1,21,2565
44102,7,287.0,0.0,0.0,1,2,248
47363,7,295.27,0.44,0.0,90,19,3006
6708,7,285.65,0.25,0.0,92,0,655
21313,7,272.28,0.0,0.0,90,19,2999
35447,7,298.88,0.0,0.0,40,18,4548
37680,7,290.53,0.0,0.0,90,1,332
31757,7,264.75,0.0,0.0,1,1,468
30290,7,275.09,0.0,0.0,90,18,4718
46739,7,295.22,0.0,0.0,1,23,1051
17562,7,289.48,0.25,0.0,90,18,4712
33935,7,290.95,0.0,0.0,40,17,5770
13853,7,287.03,0.0,0.0,40,18,4584
17281,7,291.4,0.0,0.0,1,0,604
24147,7,292.34,0.25,0.0,68,1,420
31708,7,265.22,0.0,0.0,90,3,349
31383,7,273.71,0.0,0.0,90,21,2890
2728,7,265.04,0.0,0.0,75,22,1384
40749,7,269.08,0.0,0.0,1,0,756
37761,7,286.58,0.0,0.0,90,21,2700
35216,7,294.42,0.0,0.0,75,0,649
44507,7,292.92,0.0,0.0,90,0,527
2309,7,261.31,0.0,0.0,1,20,2694
710,7,273.54,0.0,0.0,90,1,795
34262,7,301.62,0.0,0.0,1,20,3420
7313,7,291.63,0.0,0.0,92,0,1556
40127,7,256.32,0.0,0.0,75,19,2941
24339,7,288.42,0.0,0.0,0,1,416
38504,7,273.15,0.0,0.0,90,22,1514
5326,7,272.58,0.0,0.0,90,2,571
25519,7,292.15,0.0,0.0,0,21,3021
31801,7,275.86,0.0,0.0,90,19,3595
26094,7,288.67,0.0,0.0,1,1,1050
25297,7,295.35,0.0,0.0,75,19,2991
41859,7,268.79,0.0,0.0,5,21,2507
1123,10,288.12,0.0,0.0,87,0,1000
29822,7,257.49,0.0,0.0,40,17,5790
2941,7,257.93,0.0,0.0,1,1,325
4368,7,269.78,0.0,0.0,90,22,1346
48151,7,278.09,0.0,0.0,20,22,2713
10540,7,259.09,0.0,0.0,64,3,307
42746,7,272.89,0.0,0.0,1,22,3691
15205,7,296.15,0.0,0.0,1,17,6164
13732,7,278.13,0.91,0.0,40,17,6347
43874,7,288.02,0.0,0.0,40,3,326
35270,7,297.21,0.0,0.0,90,2,281
6125,7,286.91,0.0,0.0,90,17,4813
19914,7,280.01,0.0,0.0,75,2,287
11274,7,276.793,0.0,0.0,64,21,1200
31881,7,276.49,0.0,0.0,1,23,1049
28720,7,275.03,0.0,0.0,90,2,257
47715,7,297.83,0.0,0.0,1,23,2123
32071,7,276.55,0.0,0.0,90,1,894
14877,7,295.53,0.0,0.0,1,19,3361
8548,7,299.5,0.0,0.0,44,20,3190
12302,7,267.0,0.0,0.0,90,23,978
29849,7,256.65,0.0,0.0,5,20,2751
40991,7,271.72,0.0,0.0,1,3,480
4226,7,274.83,0.0,0.0,90,22,2462
6549,7,290.88,0.0,0.0,90,2,339
3133,7,255.5,0.0,0.0,90,18,4584
26238,7,296.47,0.0,0.0,1,17,5710
32826,7,281.69,0.0,0.0,90,0,667
23860,7,290.51,0.0,0.0,90,19,3538
23779,7,290.29,0.0,0.0,1,22,2548
44840,7,294.28,0.0,0.0,75,22,2863
35191,7,290.4,0.0,0.0,1,3,370
23631,7,295.45,0.0,0.0,20,20,3140
8032,7,288.55,0.0,0.0,32,22,1736
5218,7,275.11,0.0,0.0,75,0,590
760,7,273.5,0.0,0.0,1,3,352
8216,7,290.54,0.0,0.0,92,2,292
1309,7,284.64,0.0,0.0,40,18,4239
2603,7,262.54,0.0,0.0,90,17,5191
19468,7,273.41,0.0,0.0,1,2,609
10091,7,258.38,0.0,0.0,1,0,1184
38831,7,270.61,0.0,0.0,90,3,541
918,7,280.56,0.0,0.0,46,17,6134
26244,7,288.58,0.0,0.0,1,23,1273
19366,7,279.42,0.0,0.0,1,18,4209
26128,7,301.13,0.0,0.0,40,17,3793
15050,7,291.85,0.0,0.0,1,21,2650
45773,7,296.58,0.0,0.0,75,19,3237
7361,7,299.16,0.0,0.0,75,18,4646
21736,7,291.15,0.0,0.0,75,18,4836
15074,7,296.58,0.0,0.0,12,22,2105
22842,7,282.81,2.96,0.0,90,17,6237
37733,7,284.23,0.0,0.0,5,20,2987
17504,7,291.24,1.91,0.0,90,19,3221
5188,7,276.78,0.0,0.0,90,17,6407
7162,7,296.58,0.0,0.0,0,21,2842
30289,7,275.34,0.0,0.0,90,17,5804
31469,7,269.75,0.0,0.0,90,22,2448
2284,7,265.51,0.0,0.0,20,19,3725
24716,7,290.53,0.0,0.0,40,3,341
1074,7,279.87,0.0,0.0,90,1,922
7728,7,297.63,0.0,0.0,20,1,434
4219,7,275.36,0.0,0.0,90,19,2743
39486,7,278.16,0.0,0.0,90,19,3092
40085,7,251.86,0.0,0.0,1,1,326
6748,7,287.17,0.84,0.0,24,18,4919
21664,7,286.15,0.0,0.0,1,0,529
23382,7,286.28,0.0,0.0,75,23,1572
40944,7,269.02,0.0,0.0,90,1,345
22420,7,279.15,0.0,0.0,90,0,689
42086,7,271.93,0.0,0.0,90,18,1389
13880,7,278.58,1.12,0.0,90,21,2308
4069,7,270.59,0.0,0.0,90,23,2298
22188,7,273.29,0.0,0.0,1,21,3085
6138,7,286.63,0.0,0.0,40,3,402
20736,7,267.22,0.0,0.0,90,1,335
17701,7,288.59,0.0,0.0,90,23,1037
1171,7,267.75,0.0,0.0,1,22,1563
15316,7,292.08,0.0,0.0,1,22,1771
42833,7,268.58,0.0,0.0,1,23,952
8189,7,289.78,0.0,0.0,76,22,2040
42179,7,267.49,0.0,0.0,1,20,3565
2959,7,260.66,0.0,0.0,75,21,2331
21598,7,273.55,0.0,0.0,90,17,6551
4238,7,274.59,0.0,0.0,90,1,362
14572,7,286.47,0.0,0.0,1,23,1255
32646,7,284.15,0.0,0.0,90,20,3187
32695,7,286.71,0.0,0.0,90,1,799
27494,7,279.616,0.0,0.0,0,21,3283
23774,7,297.4,0.0,0.0,40,18,3250
41107,7,271.01,0.0,0.0,1,22,2261
43202,7,273.79,0.0,0.0,90,21,2158
20553,7,248.51,0.0,0.0,1,3,284
26165,7,293.49,6.1,0.0,75,0,543
41685,7,260.55,0.0,0.0,1,23,965
2645,7,266.09,0.0,0.0,90,21,2046
20605,7,264.22,0.0,0.0,40,1,351
12032,7,256.87,0.0,0.0,90,17,6058
36985,7,286.65,0.0,0.0,75,0,634
18574,7,291.48,0.0,0.0,90,20,3032
36336,7,293.72,0.0,0.0,90,2,286
33456,7,293.72,0.0,0.0,1,17,5703
8405,7,286.24,0.0,0.0,8,3,360
18824,7,284.33,0.0,0.0,1,23,944
13573,7,278.59,0.0,0.0,90,2,306
34383,7,302.15,0.0,0.0,1,18,4229
5514,7,275.42,0.0,0.0,75,23,1267
40883,7,270.86,0.0,0.0,90,19,1291
31328,7,270.49,0.0,0.0,90,22,1464
35718,7,291.75,0.0,0.0,1,2,360
35339,7,296.46,0.0,0.0,20,18,4314
2535,7,258.7,0.0,0.0,20,2,341
47239,7,294.54,0.25,0.0,90,2,358
31987,7,276.55,0.0,0.0,92,21,3905
29502,7,275.48,0.0,0.0,90,23,980
43630,7,286.58,0.0,0.0,40,18,5355
34235,7,302.95,0.0,0.0,1,17,4542
10830,7,265.12,0.0,0.0,64,19,3531
5261,7,274.36,0.0,0.0,90,0,516
5403,7,281.11,0.0,0.0,90,18,3780
4636,7,273.08,0.0,0.0,1,0,1092
19859,7,273.09,0.0,0.0,90,23,909
40173,7,260.29,0.0,0.0,90,20,2299
7166,7,294.89,0.25,0.0,92,2,350
38224,7,289.42,0.0,0.0,90,20,3000
37140,7,295.77,0.0,0.0,5,22,1960
46910,7,288.86,0.0,0.0,1,22,1747
6480,7,286.39,0.0,0.0,90,23,1032
44582,7,295.28,0.0,0.0,1,23,1446
20790,7,266.86,0.0,0.0,90,18,4253
4895,7,281.04,0.0,0.0,1,19,3143
27636,7,280.562,0.0,0.0,0,20,2646
12919,7,274.46,0.0,0.0,1,19,3737
26618,7,285.21,0.0,0.0,40,1,347
8741,7,289.6,0.0,0.0,1,23,1712
45378,7,298.94,0.0,0.0,1,20,3126
17793,7,295.04,0.0,0.0,1,18,4826
6604,7,289.71,0.0,0.0,90,0,1221
20877,7,276.08,0.0,0.0,90,0,544
4789,7,277.61,0.0,0.0,1,0,632
23264,7,285.84,0.0,0.0,90,20,2749
35885,7,292.92,0.0,0.0,90,0,693
44919,7,292.72,0.0,0.0,1,0,684
27226,7,282.341,0.0,0.0,0,2,261
16726,7,297.93,0.0,0.0,1,17,5794
7477,7,303.41,0.0,0.0,48,17,3720
24164,7,295.78,0.0,0.0,0,18,4483
15026,7,291.08,0.51,0.0,1,21,2860
30949,7,275.95,0.0,0.0,90,20,2862
32621,7,281.35,0.0,0.0,90,23,1424
37036,7,290.15,0.0,0.0,75,3,373
8785,7,290.65,0.0,0.0,80,2,292
39006,7,273.51,0.0,0.0,90,20,3132
46057,7,299.94,0.0,0.0,75,17,4562
5136,7,272.29,0.0,0.0,90,2,233
25565,7,298.93,0.0,0.0,0,19,3838
29404,7,274.35,0.0,0.0,90,21,2529
32534,7,277.46,0.0,0.0,90,17,6029
15557,7,288.68,0.0,0.0,1,0,747
45357,7,293.43,0.0,0.0,40,23,1161
20973,7,270.8,0.0,0.0,90,0,580
3010,7,261.36,0.0,0.0,1,0,602
33438,7,286.28,0.0,0.0,1,23,1108
9525,7,284.23,0.25,0.0,92,17,6279
42461,7,274.22,0.0,0.0,90,23,1086
28567,7,280.02,0.0,0.0,90,1,304
47061,7,292.14,1.78,0.0,5,22,2713
34197,7,284.73,0.0,0.0,1,3,375
31166,7,282.47,0.0,0.0,68,21,2245
2222,7,270.09,0.0,0.0,90,23,1113
29595,7,271.55,0.0,0.0,75,17,5196
5380,7,274.04,0.0,0.0,90,1,296
43635,7,278.55,0.0,0.0,75,23,1942
29943,7,259.34,0.0,0.0,1,20,2219
5615,7,285.22,0.0,0.0,1,3,328
38797,7,264.68,0.0,0.0,1,18,4758
81,7,278.81,0.0,0.0,90,0,1231
46323,7,293.34,0.0,0.0,40,0,662
1023,7,275.91,0.0,0.0,40,1,422
35664,7,300.94,0.0,0.0,90,18,4095
1518,7,263.55,0.0,0.0,1,22,1523
35058,7,292.89,0.0,0.0,1,1,746
4655,7,280.99,0.0,0.0,1,19,3287
35294,7,292.78,0.0,0.0,90,1,434
25966,7,293.17,1.02,0.0,75,23,874
28661,7,275.15,0.0,0.0,90,2,274
779,7,276.03,0.0,0.0,40,22,1979
38802,7,261.95,0.0,0.0,1,23,1471
41486,7,266.75,0.0,0.0,1,2,283
39589,7,267.81,0.0,0.0,90,0,651
3612,7,273.77,0.0,0.0,90,20,2909
36216,7,292.99,0.0,0.0,90,17,4332
42364,7,272.73,0.0,0.0,5,21,2685
8621,7,291.35,0.0,0.0,0,23,2096
37472,7,287.23,0.0,0.0,90,2,229
39871,7,270.15,0.0,0.0,90,20,2486
20314,7,268.42,0.0,0.0,90,18,4739
18653,7,293.06,0.0,0.0,1,18,4171
8381,7,290.71,0.0,0.0,0,3,391
17167,7,294.01,2.54,0.0,40,0,721
40424,7,271.01,0.0,0.0,75,20,2261
26268,7,288.82,0.0,0.0,1,23,1923
33971,7,283.49,0.0,0.0,1,1,434
42456,7,277.69,0.0,0.0,90,18,4314
16154,7,296.75,0.0,0.0,1,17,6109
40936,7,269.54,0.0,0.0,90,19,3104
32694,7,286.71,0.0,0.0,90,1,799
25881,7,291.08,0.0,0.0,75,18,3607
33523,7,288.01,0.0,0.0,40,22,1987
37116,7,294.94,0.0,0.0,1,22,1897
45820,7,299.95,0.0,0.0,75,19,3664
37076,7,298.95,0.0,0.0,20,19,2851
4512,7,272.55,0.0,0.0,40,21,2056
34220,7,296.88,0.0,0.0,1,2,900
44354,7,294.95,0.0,0.0,75,21,2626
34490,7,292.01,0.0,0.0,1,2,293
10476,7,249.13,0.0,0.0,1,2,432
9246,7,286.79,0.0,0.0,92,22,4151
29998,7,257.6,0.0,0.0,20,18,4434
31076,7,270.756,0.0,0.0,0,3,349
34147,7,283.9,0.0,0.0,75,1,384
12444,7,260.14,0.0,0.0,1,21,3075
10664,7,260.86,0.0,0.0,90,3,365
8742,3,288.78,0.0,0.0,0,0,1041
39840,7,266.51,0.0,0.0,90,3,391
3697,11,258.96,0.0,0.0,20,0,556
8263,7,291.34,13.21,0.0,68,21,3089
17084,7,292.09,0.0,0.0,40,22,1792
41253,7,254.15,0.0,0.0,5,22,2382
38505,7,273.15,0.0,0.0,90,23,998
13664,7,271.77,0.0,0.0,20,21,2264
26562,7,294.88,0.0,0.0,75,18,4130
43769,7,284.905,0.0,0.0,0,23,1074
7536,7,293.16,0.0,0.0,12,3,342
13376,7,276.36,0.0,0.0,90,21,2408
22383,7,281.59,0.0,0.0,1,21,2449
41881,7,275.02,0.0,0.0,5,19,3086
46065,7,293.22,0.0,0.0,1,1,969
37816,7,286.15,0.0,0.0,90,0,1802
19595,7,270.87,0.0,0.0,1,2,328
12805,7,275.65,0.0,0.0,75,1,347
36093,7,292.15,0.0,0.0,90,17,5982
13397,7,272.91,0.38,0.0,90,18,3439
5508,7,278.63,0.0,0.0,90,18,5020
44941,7,293.23,0.0,0.0,1,22,2123
16864,7,295.66,0.0,0.0,1,23,1485
34985,7,292.4,0.0,0.0,1,22,3318
33053,7,282.09,0.0,0.0,90,1,349
5129,7,274.79,0.0,0.0,90,19,2551
26981,7,285.91,0.0,0.0,0,20,2765
23148,7,286.07,0.0,0.0,1,1,351
5103,7,272.28,0.0,0.0,90,23,2254
13524,7,273.58,0.0,0.0,1,1,372
47464,7,287.97,1.02,0.0,5,22,1629
9384,7,293.83,0.0,0.0,1,18,4807
16182,7,286.22,0.0,0.0,1,2,373
42866,7,271.61,0.0,0.0,90,0,552
20003,7,274.15,0.0,0.0,90,19,2932
44548,7,291.16,0.0,0.0,1,2,307
45819,7,299.94,0.0,0.0,75,18,4664
20484,7,273.52,0.0,0.1,90,23,1241
19662,7,275.15,0.0,0.0,1,0,623
34338,7,297.29,0.0,0.0,90,22,2349
27930,7,278.54,0.0,0.0,1,20,2197
24709,7,292.84,1.78,0.0,90,21,1752
21227,7,264.41,0.0,0.0,90,18,4817
43139,7,278.42,0.0,0.0,90,23,1099
44304,7,290.88,0.0,0.0,75,23,1084
36224,7,291.94,0.0,0.0,90,22,1787
46270,7,297.09,0.0,0.0,1,20,3344
46890,7,290.437,0.0,0.0,88,2,316
46494,7,297.82,0.0,0.0,1,20,2795
44917,7,295.3,0.0,0.0,75,22,2332
14379,7,284.66,0.0,0.0,56,19,3984
46437,7,297.68,0.0,0.0,40,20,2962
34751,7,293.08,0.0,0.0,75,17,6037
35366,7,299.79,0.0,0.0,5,21,3224
32850,7,280.62,0.0,0.0,90,19,3189
20898,7,265.34,0.0,0.0,1,3,384
20458,7,272.54,0.0,0.0,40,2,315
15425,7,295.84,0.0,0.0,88,0,1465
36408,7,292.56,0.0,0.0,75,21,3838
13982,7,279.67,0.65,0.0,90,3,314
32985,7,282.11,0.0,0.0,1,0,580
21413,7,270.15,0.0,0.0,1,2,620
31145,11,285.059,0.0,0.0,68,0,629
21285,7,265.65,0.0,0.0,90,18,3223
19720,7,269.75,0.0,0.0,1,18,3773
11299,7,252.15,0.0,0.0,1,0,483
39564,7,265.15,0.0,0.0,1,23,1093
41748,7,269.79,0.0,0.0,90,3,368
17471,7,289.62,0.0,0.0,90,2,270
9367,7,290.9,0.0,0.0,1,1,337
27520,7,280.24,0.0,0.0,0,0,1295
3417,7,268.37,0.0,0.0,90,22,3310
28568,7,280.02,0.0,0.0,90,1,304
27250,7,288.957,0.0,0.0,24,3,477
45189,7,293.36,0.0,0.0,1,2,348
17976,7,297.57,0.0,0.0,1,0,1418
46374,7,289.62,0.0,0.0,5,22,2303
30349,7,275.75,0.0,0.0,90,17,4268
42602,7,272.22,0.0,0.0,1,3,340
11340,7,264.67,0.0,0.0,64,19,3287
27293,7,276.35,0.0,0.0,0,22,1373
26025,7,288.22,0.0,0.0,1,23,1252
5518,7,274.51,0.0,0.0,90,2,329
38413,7,274.15,0.0,0.0,90,19,3498
39798,7,269.64,0.0,0.0,90,20,2849
12802,7,276.9,0.0,0.0,90,22,4092
12924,7,269.66,0.0,0.0,20,0,998
8052,7,294.82,0.0,0.0,24,20,3015
43019,7,269.37,0.0,0.0,1,22,4107
44668,7,285.72,0.0,0.0,1,1,377
41834,7,267.84,0.0,0.0,90,1,510
18924,7,290.38,0.0,0.0,1,1,817
45159,7,291.65,0.0,0.0,90,23,1190
11278,7,247.84,0.0,0.0,1,1,272
41180,7,260.49,0.0,0.0,90,17,5891
14688,7,292.92,0.25,0.0,75,19,3224
33743,7,287.88,0.0,0.0,90,21,2348
291,7,284.17,0.0,0.0,93,19,3453
39226,7,280.15,0.0,0.0,5,20,2844
18395,7,287.11,0.51,0.0,90,20,3395
40796,7,274.22,0.0,0.0,1,0,1179
25995,7,296.5,0.0,0.0,1,18,4370
990,7,277.96,0.0,0.0,90,17,6057
4043,7,270.99,0.0,0.0,75,17,3882
35948,7,297.36,0.0,0.0,40,17,5292
23864,7,288.28,0.0,0.0,75,23,1169
27712,7,276.426,0.0,0.0,48,0,492
14469,7,284.66,0.44,0.0,92,19,2923
26589,7,286.9,0.0,0.0,1,20,2747
42527,7,275.49,0.0,0.0,75,18,4591
48048,7,288.62,4.74,0.0,90,23,826
31091,7,283.808,0.0,0.0,0,18,5000
13163,7,267.68,0.0,0.0,40,23,881
17955,7,294.85,0.0,0.0,1,3,398
44006,7,284.08,0.0,0.0,90,19,3863
11563,7,276.793,0.0,0.0,64,23,2746
10223,7,271.61,0.0,0.0,90,20,3487
25370,7,297.05,0.0,0.0,40,20,2838
41455,7,259.15,0.0,0.0,75,19,3034
43283,7,268.02,0.0,0.0,90,0,353
9493,7,282.2,0.34,0.0,92,21,2486
44690,7,295.3,0.0,0.0,1,23,1115
25328,7,290.04,0.0,0.0,75,2,359
10628,7,264.15,0.0,0.0,64,19,3211
25265,7,297.69,0.0,0.0,75,22,1908
27077,7,291.48,0.0,0.0,0,20,2159
37307,7,294.86,0.0,0.0,90,3,350
38167,7,289.28,0.0,0.0,40,21,2891
2252,7,268.92,0.0,0.0,90,0,737
10803,7,264.51,0.0,0.0,64,21,2563
32347,7,283.4,0.0,0.0,90,18,4165
44896,7,292.22,0.0,0.0,40,2,314
36377,7,290.58,0.0,0.0,1,0,817
34702,7,285.58,0.0,0.0,1,3,381
10970,7,263.0,0.0,0.0,64,23,1035
44013,7,283.15,0.0,0.0,90,0,1107
47613,7,297.74,0.0,0.0,75,20,3114
41730,7,270.02,0.0,0.0,90,20,2736
2220,7,269.95,0.0,0.0,90,22,2004
20023,7,274.15,0.0,0.0,90,0,587
2635,7,265.16,0.0,0.0,90,17,5782
8051,7,295.96,0.0,0.0,24,19,3450
10269,7,271.56,0.0,0.0,64,18,4132
19874,7,278.44,0.0,0.0,90,19,3189
23500,7,287.42,0.0,0.0,1,22,3133
18403,7,284.32,0.0,0.0,1,2,556
21677,7,276.65,0.0,0.0,90,2,279
10178,7,268.45,0.0,0.0,90,21,3345
16232,7,290.7,0.0,0.0,1,2,735
27053,7,288.12,0.0,0.0,0,20,3221
18884,7,284.35,0.0,0.0,90,21,2717
24791,7,293.96,0.0,0.0,20,22,2367
41563,7,266.07,0.0,0.0,1,2,538
16988,7,294.7,0.0,0.0,40,22,2385
36266,7,287.82,0.0,0.0,1,3,376
42648,7,274.51,0.0,0.0,90,18,4041
47999,7,285.63,0.0,0.0,40,2,565
14735,7,301.62,0.0,0.0,40,18,4535
24507,7,291.45,0.0,0.0,20,22,1968
19214,7,275.08,0.0,0.0,90,1,317
21825,7,282.58,0.0,0.0,75,20,2831
12084,7,257.26,0.0,0.0,1,21,2928
31549,7,279.46,0.0,0.0,75,23,977
7128,7,295.52,7.54,0.0,76,3,380
10660,7,260.65,0.0,0.0,90,0,1144
16351,7,294.02,0.0,0.0,1,19,3040
41284,7,253.08,0.0,0.0,1,3,339
18446,7,290.52,1.52,0.0,90,18,3857
4436,7,267.07,0.0,0.0,1,17,6246
30246,7,275.27,0.0,0.0,90,0,640
8674,7,306.31,0.0,0.0,0,18,4520
27983,10,281.96,0.0,0.0,1,0,572
18451,7,287.06,0.0,0.0,1,3,336
2747,7,265.22,0.0,0.0,40,17,5717
24705,7,293.53,6.35,0.0,90,20,1975
23478,7,287.85,0.0,0.0,40,0,750
4141,7,260.21,0.0,0.0,20,2,357
10304,7,274.04,0.25,0.0,64,17,4795
11438,7,269.87,0.25,0.0,64,21,2107
15625,7,297.4,0.0,0.0,90,20,3140
57,7,291.36,0.0,0.0,75,22,1992
40450,7,268.55,0.0,0.0,1,22,1481
99,7,278.16,0.0,0.0,90,19,3860
14995,7,286.13,0.0,0.0,36,22,3269
2643,7,266.09,0.0,0.0,90,21,2046
44062,7,289.92,0.0,0.0,1,23,1077
17305,7,290.0,0.0,0.0,1,0,617
44944,7,291.28,0.0,0.0,40,1,424
16400,7,294.44,0.0,0.0,1,19,3336
16751,7,299.36,0.0,0.0,1,18,4433
15048,7,294.6,0.0,0.0,1,19,3160
23553,7,293.17,0.0,0.0,20,3,339
9429,7,293.78,0.0,0.0,44,21,3048
8857,7,305.31,0.0,0.0,0,17,6387
39954,7,265.58,0.0,0.0,90,19,3259
28468,7,273.21,0.0,0.0,90,22,2069
17949,7,297.63,0.0,0.0,1,21,3045
17676,7,289.37,0.0,0.0,75,22,1613
37635,7,286.08,0.0,0.0,90,3,334
36038,7,299.15,0.0,0.0,40,17,6246
2430,7,260.84,0.0,0.0,40,21,2134
44739,7,298.08,0.0,0.0,40,20,3157
12280,7,265.05,0.0,0.0,90,1,670
32957,7,291.29,0.0,0.0,5,20,3389
32516,7,283.62,0.0,0.0,90,3,325
18128,7,288.15,0.0,0.0,90,1,340
10811,7,264.14,0.38,0.0,64,1,424
32224,7,281.71,0.0,0.0,90,17,6613
42085,7,272.09,0.0,0.0,90,17,1953
29776,7,254.49,0.0,0.0,90,2,366
22315,7,276.79,0.0,0.0,90,19,3479
25962,7,294.07,20.07,0.0,40,22,1520
5702,7,276.89,0.0,0.0,90,2,337
9,7,293.1,0.0,0.0,20,18,4770
28666,7,275.15,0.0,0.0,90,3,309
11591,7,276.793,0.0,0.0,64,3,342
32626,7,281.28,0.0,0.0,40,1,583
151,7,277.27,0.0,0.0,1,1,302
39399,7,273.22,0.0,0.0,1,1,866
15262,7,294.56,0.0,0.0,90,2,680
2379,7,260.51,0.0,0.0,1,18,2944
2498,7,264.56,0.0,0.0,90,19,2859
11895,7,255.93,0.0,0.0,0,0,644
19649,7,270.15,0.0,0.0,1,0,523
3740,7,261.02,0.0,0.0,90,21,2343
